income_line_id,household_id,owner,source_type,frequency,net_or_gross,amount_annualized
HH000085_I3,HH000085,client_1,salary,annual,gross,2502.9
HH000085_I4,HH000085,client_1,salary,monthly,gross,5513.58
HH000085_I5,HH000085,client_1,bonus,monthly,gross,0.0
HH000086_I1,HH000086,client_1,bonus,monthly,gross,26222.92
HH000087_I1,HH000087,client_1,social_security,monthly,gross,17838.26
HH000087_I2,HH000087,client_1,interest_dividends,monthly,gross,41089.1
HH000087_I3,HH000087,client_1,interest_dividends,monthly,gross,60127.27
HH000088_I1,HH000088,client_1,bonus,quarterly,gross,128588.88
HH000088_I2,HH000088,client_1,bonus,quarterly,gross,158045.44
HH000089_I1,HH000089,client_2,bonus,weekly,gross,163208.0
HH000090_I1,HH000090,client_1,salary,monthly,gross,33976.59
HH000090_I2,HH000090,client_1,business_income,monthly,gross,81150.09
HH000090_I3,HH000090,client_1,rental_income,annual,gross,77868.31
HH000090_I4,HH000090,client_1,rental_income,quarterly,gross,51439.01
HH000090_I5,HH000090,client_1,business_income,monthly,gross,0.0
HH000091_I1,HH000091,client_1,pension_income,quarterly,gross,163208.0
HH000092_I1,HH000092,client_2,interest_dividends,monthly,gross,8879.52
HH000092_I2,HH000092,client_2,pension_income,monthly,gross,20101.26
HH000092_I3,HH000092,client_1,interest_dividends,monthly,gross,16469.47
HH000092_I4,HH000092,client_1,salary,monthly,gross,15977.95
HH000093_I1,HH000093,client_2,salary,weekly,gross,66591.06
HH000093_I2,HH000093,client_1,social_security,monthly,gross,96616.94
HH000094_I1,HH000094,client_1,pension_income,weekly,gross,71611.6
HH000095_I1,HH000095,joint,rental_income,monthly,gross,25110.92
HH000096_I1,HH000096,client_1,bonus,weekly,gross,103103.61
HH000096_I2,HH000096,client_1,interest_dividends,weekly,gross,102918.86
HH000096_I3,HH000096,client_1,social_security,monthly,gross,25876.44
HH000096_I4,HH000096,client_1,business_income,monthly,gross,0.0
HH000096_I5,HH000096,client_1,pension_income,weekly,gross,0.0
HH000096_I6,HH000096,client_1,rental_income,weekly,gross,0.0
HH000097_I1,HH000097,client_1,pension_income,monthly,gross,8775.58
HH000097_I2,HH000097,client_1,interest_dividends,monthly,gross,91076.13
HH000098_I1,HH000098,client_2,salary,monthly,gross,56824.66
HH000098_I2,HH000098,client_1,interest_dividends,monthly,gross,45223.45
HH000098_I3,HH000098,client_1,social_security,monthly,gross,15917.22
HH000098_I4,HH000098,client_1,bonus,monthly,gross,26727.01
HH000099_I1,HH000099,client_1,interest_dividends,monthly,gross,54625.94
HH000100_I1,HH000100,client_1,pension_income,weekly,gross,278408.39
HH000101_I1,HH000101,client_1,business_income,monthly,gross,34787.28
HH000102_I1,HH000102,client_1,interest_dividends,monthly,gross,56874.21
HH000102_I2,HH000102,joint,business_income,weekly,gross,77984.28
HH000103_I1,HH000103,joint,business_income,monthly,gross,43547.98
HH000103_I2,HH000103,client_2,rental_income,monthly,gross,51889.64
HH000103_I3,HH000103,client_1,rental_income,monthly,gross,69952.1
HH000104_I1,HH000104,client_1,bonus,annual,gross,4160.43
HH000104_I2,HH000104,joint,bonus,annual,gross,6300.12
HH000104_I3,HH000104,client_1,business_income,quarterly,gross,28889.72
HH000105_I1,HH000105,joint,rental_income,monthly,gross,57719.36
HH000105_I2,HH000105,client_1,pension_income,monthly,gross,25902.62
HH000105_I3,HH000105,client_1,salary,monthly,gross,52394.75
HH000106_I1,HH000106,client_1,rental_income,monthly,gross,92789.61
HH000107_I1,HH000107,client_2,pension_income,monthly,gross,56575.27
HH000107_I2,HH000107,client_1,rental_income,monthly,gross,128512.6
HH000108_I1,HH000108,client_1,salary,ad_hoc,gross,34483.98
HH000108_I2,HH000108,client_2,salary,monthly,gross,153724.16
HH000109_I1,HH000109,client_1,rental_income,monthly,gross,79173.59
HH000110_I1,HH000110,client_1,interest_dividends,monthly,gross,10480.98
HH000110_I2,HH000110,client_1,rental_income,quarterly,gross,15097.61
HH000110_I3,HH000110,client_2,social_security,monthly,gross,19199.04
HH000110_I4,HH000110,client_1,social_security,monthly,gross,3449.75
HH000111_I1,HH000111,client_1,business_income,weekly,gross,28481.18
HH000112_I1,HH000112,joint,business_income,annual,gross,23338.82
HH000112_I2,HH000112,joint,interest_dividends,monthly,gross,56484.3
HH000112_I3,HH000112,client_1,interest_dividends,annual,gross,61848.19
HH000112_I4,HH000112,client_1,pension_income,monthly,gross,7378.18
HH000113_I1,HH000113,client_1,business_income,monthly,gross,35589.11
HH000113_I2,HH000113,joint,pension_income,monthly,gross,53719.69
HH000113_I3,HH000113,client_2,social_security,monthly,gross,45775.0
HH000114_I1,HH000114,client_1,pension_income,monthly,gross,63683.98
HH000114_I2,HH000114,client_1,salary,quarterly,gross,83415.37
HH000115_I1,HH000115,client_1,bonus,monthly,gross,163208.0
HH000116_I1,HH000116,client_1,bonus,quarterly,gross,32029.81
HH000116_I2,HH000116,client_1,salary,quarterly,gross,20029.51
HH000116_I3,HH000116,client_1,bonus,weekly,gross,24794.72
HH000117_I1,HH000117,client_1,pension_income,monthly,gross,14876.91
HH000117_I2,HH000117,client_1,salary,monthly,gross,11114.27
HH000117_I3,HH000117,client_1,rental_income,monthly,gross,11454.22
HH000117_I4,HH000117,client_1,bonus,annual,gross,16332.57
HH000118_I1,HH000118,joint,rental_income,monthly,gross,16032.86
HH000118_I2,HH000118,client_2,business_income,monthly,gross,147175.14
HH000119_I1,HH000119,client_2,salary,quarterly,gross,83075.24
HH000120_I1,HH000120,client_1,rental_income,monthly,gross,2477.54
HH000120_I2,HH000120,client_2,social_security,monthly,gross,4316.28
HH000121_I1,HH000121,joint,rental_income,monthly,gross,27137.22
HH000121_I2,HH000121,client_2,social_security,monthly,gross,167600.83
HH000122_I1,HH000122,joint,rental_income,weekly,gross,28520.29
HH000122_I2,HH000122,client_1,business_income,weekly,gross,23407.77
HH000122_I3,HH000122,client_1,bonus,annual,gross,72988.85
HH000123_I1,HH000123,client_1,business_income,monthly,gross,2888.51
HH000123_I2,HH000123,client_1,bonus,weekly,gross,3960.46
HH000124_I1,HH000124,client_2,rental_income,monthly,gross,2367.38
HH000124_I2,HH000124,client_2,business_income,monthly,gross,805.81
HH000124_I3,HH000124,client_2,pension_income,annual,gross,3663.73
HH000124_I4,HH000124,client_1,social_security,monthly,gross,3056.22
HH000125_I1,HH000125,client_1,bonus,monthly,gross,22920.53
HH000125_I2,HH000125,client_1,business_income,annual,gross,10100.22
HH000125_I3,HH000125,client_1,rental_income,monthly,gross,37558.88
HH000126_I1,HH000126,client_2,social_security,monthly,gross,38107.92
HH000126_I2,HH000126,client_2,pension_income,weekly,gross,40110.28
HH000126_I3,HH000126,client_1,pension_income,weekly,gross,15901.96
HH000127_I1,HH000127,client_1,rental_income,ad_hoc,gross,7962.68
HH000127_I2,HH000127,joint,salary,quarterly,gross,11042.96
HH000127_I3,HH000127,client_2,pension_income,weekly,gross,16508.54
HH000127_I4,HH000127,client_2,business_income,monthly,gross,9722.42
HH000127_I5,HH000127,joint,pension_income,monthly,gross,11008.86
HH000128_I1,HH000128,client_1,interest_dividends,ad_hoc,gross,8411.04
HH000128_I2,HH000128,client_1,business_income,monthly,gross,19598.06
HH000129_I1,HH000129,client_1,interest_dividends,ad_hoc,gross,22182.28
HH000129_I2,HH000129,client_1,business_income,monthly,gross,43762.73
HH000129_I3,HH000129,client_1,business_income,ad_hoc,gross,88241.19
HH000130_I1,HH000130,joint,rental_income,annual,gross,27710.97
HH000131_I1,HH000131,client_2,social_security,quarterly,gross,66891.36
HH000131_I2,HH000131,joint,bonus,weekly,gross,49864.26
HH000131_I3,HH000131,client_2,rental_income,monthly,gross,71187.44
HH000132_I1,HH000132,client_2,salary,monthly,gross,12283.14
HH000132_I2,HH000132,client_1,social_security,monthly,gross,22017.16
HH000132_I3,HH000132,client_1,interest_dividends,quarterly,gross,26912.79
HH000133_I1,HH000133,client_2,social_security,monthly,gross,11098.04
HH000134_I1,HH000134,client_2,salary,monthly,gross,52607.32
HH000134_I2,HH000134,client_1,bonus,monthly,gross,119165.31
HH000135_I1,HH000135,client_2,rental_income,monthly,gross,27309.13
HH000136_I1,HH000136,client_2,pension_income,quarterly,gross,43118.28
HH000137_I1,HH000137,client_1,interest_dividends,monthly,gross,15507.36
HH000137_I2,HH000137,joint,salary,monthly,gross,19498.95
HH000137_I3,HH000137,client_1,social_security,annual,gross,13347.43
HH000137_I4,HH000137,client_1,salary,monthly,gross,0.0
HH000138_I1,HH000138,client_1,pension_income,monthly,gross,109287.28
HH000139_I1,HH000139,client_1,salary,monthly,gross,37373.52
HH000139_I2,HH000139,client_1,salary,monthly,gross,89769.24
HH000140_I1,HH000140,joint,bonus,monthly,gross,5947.66
HH000140_I2,HH000140,client_1,bonus,monthly,gross,38475.35
HH000141_I1,HH000141,client_1,interest_dividends,monthly,gross,31432.99
HH000141_I2,HH000141,client_1,salary,annual,gross,100511.13
HH000142_I1,HH000142,client_2,bonus,monthly,gross,28545.08
HH000142_I2,HH000142,joint,business_income,annual,gross,108358.77
HH000143_I1,HH000143,client_2,business_income,monthly,gross,213821.84
HH000144_I1,HH000144,client_1,rental_income,monthly,gross,5235.65
HH000144_I2,HH000144,client_2,salary,monthly,gross,6489.83
HH000145_I1,HH000145,joint,social_security,quarterly,gross,7555.94
HH000145_I2,HH000145,client_1,rental_income,monthly,gross,8965.81
HH000145_I3,HH000145,joint,business_income,monthly,gross,49210.01
HH000146_I1,HH000146,client_1,interest_dividends,quarterly,gross,3079.14
HH000146_I2,HH000146,client_1,salary,monthly,gross,2766.68
HH000146_I3,HH000146,client_1,bonus,annual,gross,3774.17
HH000146_I4,HH000146,client_2,business_income,ad_hoc,gross,24592.25
HH000147_I1,HH000147,client_1,salary,monthly,gross,163208.0
HH000148_I1,HH000148,client_1,social_security,monthly,gross,10527.39
HH000148_I2,HH000148,client_1,pension_income,weekly,gross,43785.33
HH000149_I1,HH000149,client_2,rental_income,monthly,gross,85935.41
HH000150_I1,HH000150,client_1,salary,monthly,gross,17523.46
HH000150_I2,HH000150,joint,salary,monthly,gross,132205.5
HH000151_I1,HH000151,client_1,pension_income,monthly,gross,33229.65
HH000152_I1,HH000152,client_1,rental_income,monthly,gross,50146.31
HH000152_I2,HH000152,client_1,bonus,annual,gross,36436.45
HH000152_I3,HH000152,client_1,bonus,monthly,gross,10508.77
HH000152_I4,HH000152,client_2,rental_income,monthly,gross,25595.73
HH000152_I5,HH000152,client_1,pension_income,monthly,gross,0.0
HH000153_I1,HH000153,client_1,interest_dividends,monthly,gross,95216.9
HH000154_I1,HH000154,client_1,interest_dividends,monthly,gross,25817.43
HH000155_I1,HH000155,client_1,salary,weekly,gross,42945.71
HH000156_I1,HH000156,client_1,pension_income,monthly,gross,29865.18
HH000156_I2,HH000156,client_2,rental_income,annual,gross,88009.43
HH000156_I3,HH000156,client_1,pension_income,monthly,gross,74542.52
HH000156_I4,HH000156,client_1,social_security,monthly,gross,35425.21
HH000156_I5,HH000156,client_1,social_security,monthly,gross,26298.43
HH000156_I6,HH000156,client_1,business_income,monthly,gross,0.0
HH000157_I1,HH000157,client_1,salary,monthly,gross,14470.92
HH000157_I2,HH000157,client_1,salary,monthly,gross,28765.28
HH000157_I3,HH000157,joint,rental_income,monthly,gross,121338.44
HH000158_I1,HH000158,client_2,bonus,quarterly,gross,21036.46
HH000158_I2,HH000158,client_1,rental_income,annual,gross,74545.31
HH000158_I3,HH000158,client_1,interest_dividends,monthly,gross,61263.7
HH000158_I4,HH000158,client_1,bonus,monthly,gross,27232.29
HH000159_I1,HH000159,client_1,interest_dividends,monthly,gross,12754.81
HH000159_I2,HH000159,client_1,business_income,monthly,gross,17966.28
HH000160_I1,HH000160,client_2,interest_dividends,monthly,gross,15721.73
HH000161_I1,HH000161,client_1,bonus,monthly,gross,5131.13
HH000161_I2,HH000161,client_2,rental_income,monthly,gross,11856.09
HH000162_I1,HH000162,joint,social_security,weekly,gross,18866.7
HH000162_I2,HH000162,client_1,interest_dividends,ad_hoc,gross,100169.14
HH000163_I1,HH000163,joint,social_security,monthly,gross,2374.49
HH000163_I2,HH000163,client_1,rental_income,monthly,gross,7529.32
HH000163_I3,HH000163,client_1,rental_income,monthly,gross,4774.12
HH000163_I4,HH000163,client_1,business_income,monthly,gross,12986.44
HH000163_I5,HH000163,joint,business_income,monthly,gross,1502.7
HH000164_I1,HH000164,joint,business_income,weekly,gross,59586.06
HH000164_I2,HH000164,client_1,rental_income,quarterly,gross,49590.75
HH000164_I3,HH000164,client_1,bonus,monthly,gross,80312.1
HH000164_I4,HH000164,client_1,rental_income,weekly,gross,70571.74
HH000165_I1,HH000165,client_2,interest_dividends,monthly,gross,15270.72
HH000165_I2,HH000165,client_1,salary,monthly,gross,23097.73
HH000165_I3,HH000165,client_1,bonus,monthly,gross,36639.26
HH000165_I4,HH000165,client_1,bonus,quarterly,gross,14585.9
HH000165_I5,HH000165,joint,rental_income,annual,gross,0.0
HH000165_I6,HH000165,client_2,social_security,monthly,gross,0.0
HH000166_I1,HH000166,client_1,rental_income,annual,gross,96694.43
HH000166_I2,HH000166,client_1,interest_dividends,monthly,gross,97522.11
HH000166_I3,HH000166,client_1,social_security,monthly,gross,80245.84
HH000167_I1,HH000167,client_1,rental_income,monthly,gross,114518.32
HH000167_I2,HH000167,client_1,pension_income,monthly,gross,46719.33
HH000167_I3,HH000167,client_1,social_security,monthly,gross,140541.71
HH000168_I1,HH000168,joint,interest_dividends,quarterly,gross,272569.5
HH000169_I1,HH000169,client_1,social_security,monthly,gross,195668.47
HH000170_I1,HH000170,joint,business_income,ad_hoc,gross,55325.29
HH000170_I2,HH000170,client_2,salary,monthly,gross,64359.31
HH000170_I3,HH000170,joint,pension_income,monthly,gross,33906.82
HH000170_I4,HH000170,client_2,rental_income,monthly,gross,0.0
HH000170_I5,HH000170,joint,salary,monthly,gross,0.0
HH000171_I1,HH000171,client_1,interest_dividends,annual,gross,646.52
HH000171_I2,HH000171,client_1,bonus,monthly,gross,340.52
HH000171_I3,HH000171,client_1,business_income,monthly,gross,3047.25
HH000172_I1,HH000172,client_1,bonus,monthly,gross,23732.52
HH000172_I2,HH000172,client_2,pension_income,monthly,gross,34885.18
HH000172_I3,HH000172,client_2,pension_income,monthly,gross,70596.14
HH000173_I1,HH000173,joint,pension_income,monthly,gross,1744.29
HH000173_I2,HH000173,joint,social_security,monthly,gross,3344.39
HH000173_I3,HH000173,client_1,business_income,monthly,gross,5711.48
HH000174_I1,HH000174,client_1,rental_income,monthly,gross,177943.93
HH000175_I1,HH000175,client_1,salary,monthly,gross,20990.94
HH000175_I2,HH000175,client_2,business_income,monthly,gross,146026.0
HH000176_I1,HH000176,client_1,salary,ad_hoc,gross,9087.85
HH000177_I1,HH000177,client_1,rental_income,quarterly,gross,9524.48
