policy_id,household_id,owner,policy_type,monthly_cost,amount_assured,assured_until
HH000238_PP1,HH000238,client_1,disability,550.52,1689263.89,2036-07-18
HH000239_PP1,HH000239,client_1,disability,316.07,365833.88,2059-06-04
HH000241_PP1,HH000241,client_1,ltc,300.25,354476.44,2033-02-08
HH000242_PP1,HH000242,client_1,ltc,488.62,501620.47,2039-07-07
HH000246_PP1,HH000246,client_1,ltc,256.82,304094.93,2041-01-15
HH000247_PP1,HH000247,client_1,life,133.64,320672.08,2059-09-11
HH000249_PP1,HH000249,client_1,disability,389.02,1631446.0,2054-08-05
HH000250_PP1,HH000250,client_1,disability,146.2,184204.64,2049-09-21
HH000251_PP1,HH000251,client_1,life,83.4,119446.55,2053-04-13
HH000254_PP1,HH000254,client_1,ltc,321.77,305888.4,2040-06-21
HH000255_PP1,HH000255,client_1,disability,274.75,967958.93,2033-11-10
HH000258_PP1,HH000258,client_1,life,203.12,1279187.56,2049-12-09
HH000260_PP1,HH000260,client_1,ltc,588.41,1001914.28,2058-11-10
HH000261_PP1,HH000261,client_1,life,279.39,1055488.68,2049-08-24
HH000262_PP1,HH000262,client_1,life,45.27,240844.73,2054-09-05
HH000263_PP1,HH000263,client_1,ltc,1417.96,2870299.92,2046-02-27
HH000265_PP1,HH000265,client_1,life,128.58,188280.62,2041-08-04
HH000266_PP1,HH000266,client_1,life,112.61,169463.34,2032-11-21
HH000272_PP1,HH000272,client_1,life,1008.85,1459901.72,2038-08-21
HH000274_PP1,HH000274,client_1,life,428.7,1039047.92,2050-12-21
HH000275_PP1,HH000275,client_1,life,1100.95,1257701.78,2046-01-08
HH000276_PP1,HH000276,client_1,life,415.7,1181103.03,2060-03-05
HH000277_PP1,HH000277,client_1,ltc,123.69,224872.61,2042-04-07
HH000281_PP1,HH000281,client_1,disability,1112.88,1122942.36,2044-11-28
HH000282_PP1,HH000282,client_1,disability,1101.53,1375193.73,2046-08-30
HH000284_PP1,HH000284,client_1,disability,271.53,834391.19,2054-06-26
HH000286_PP1,HH000286,client_1,ltc,1588.52,1663148.64,2059-03-14
HH000287_PP1,HH000287,client_1,disability,120.33,326909.72,2047-06-02
HH000289_PP1,HH000289,client_1,life,150.09,665640.82,2041-06-10
HH000290_PP1,HH000290,client_1,ltc,90.36,194363.68,2059-07-12
HH000292_PP1,HH000292,client_1,ltc,390.92,387717.81,2044-07-08
HH000294_PP1,HH000294,client_1,disability,70.09,435427.21,2058-10-05
HH000295_PP1,HH000295,client_1,ltc,798.47,1798451.23,2031-06-25
HH000296_PP1,HH000296,client_1,ltc,530.9,676784.44,2054-10-08
HH000298_PP1,HH000298,client_1,disability,165.17,351326.02,2056-09-08
HH000300_PP1,HH000300,client_1,life,749.03,916061.46,2054-11-15
HH000302_PP1,HH000302,client_1,ltc,224.34,1030302.92,2041-08-05
HH000303_PP1,HH000303,client_1,life,133.7,890714.35,2047-05-25
HH000305_PP1,HH000305,client_1,disability,723.31,809469.49,2052-11-29
HH000306_PP1,HH000306,client_1,disability,217.72,339992.37,2059-03-03
HH000309_PP1,HH000309,client_1,disability,1168.81,1420266.03,2040-04-27
HH000311_PP1,HH000311,client_1,disability,199.29,1070393.43,2061-04-08
HH000313_PP1,HH000313,client_1,ltc,174.03,234214.98,2037-01-25
HH000314_PP1,HH000314,client_1,life,692.94,2209760.96,2033-06-11
HH000315_PP1,HH000315,client_1,life,203.1,479219.01,2048-10-10
HH000316_PP1,HH000316,client_1,disability,1088.61,1379305.96,2047-02-09
HH000319_PP1,HH000319,client_1,disability,129.76,156159.53,2050-05-07
HH000323_PP1,HH000323,client_1,life,1362.51,1659137.25,2046-04-01
HH000324_PP1,HH000324,client_1,life,61.7,261222.05,2036-10-19
HH000327_PP1,HH000327,client_1,disability,1263.73,1578134.98,2059-02-22
HH000328_PP1,HH000328,client_1,disability,369.11,1297676.83,2034-07-25
HH000329_PP1,HH000329,client_1,disability,971.91,1488223.41,2031-12-25
HH000330_PP1,HH000330,client_1,life,650.19,1797131.45,2032-02-06
HH000331_PP1,HH000331,client_1,disability,1440.81,1334274.01,2043-01-20
HH000333_PP1,HH000333,client_1,life,848.03,1149412.52,2045-12-11
HH000334_PP1,HH000334,client_1,disability,440.51,685974.24,2040-01-02
HH000336_PP1,HH000336,client_1,disability,254.57,436060.5,2058-02-10
HH000338_PP1,HH000338,client_1,life,193.43,228867.65,2038-03-16
HH000340_PP1,HH000340,client_1,ltc,84.0,351374.19,2060-08-25
HH000345_PP1,HH000345,client_1,life,1756.95,2434114.96,2040-04-13
HH000346_PP1,HH000346,client_1,ltc,1478.65,1599978.38,2048-09-28
HH000348_PP1,HH000348,client_1,disability,892.27,925036.71,2048-12-27
HH000351_PP1,HH000351,client_1,life,344.24,453511.04,2036-11-02
HH000353_PP1,HH000353,client_1,disability,197.46,183325.04,2035-02-13
HH000355_PP1,HH000355,client_1,disability,210.52,827168.49,2052-12-02
HH000359_PP1,HH000359,client_1,ltc,335.59,381216.35,2053-12-03
HH000362_PP1,HH000362,client_1,disability,162.65,317397.82,2052-07-27
HH000365_PP1,HH000365,client_1,ltc,176.92,268840.66,2042-01-18
HH000366_PP1,HH000366,client_1,disability,276.82,271373.46,2051-07-19
HH000367_PP1,HH000367,client_1,disability,27.58,71704.97,2056-03-30
HH000368_PP1,HH000368,client_1,life,854.56,889222.69,2056-07-01
HH000369_PP1,HH000369,client_1,life,429.84,987343.05,2039-06-23
HH000373_PP1,HH000373,client_1,ltc,1914.87,2273412.65,2034-05-01
HH000374_PP1,HH000374,client_1,ltc,1240.74,1155972.44,2039-09-29
HH000375_PP1,HH000375,client_1,disability,267.07,484616.33,2049-12-22
HH000376_PP1,HH000376,client_1,life,258.51,310813.66,2061-02-03
HH000379_PP1,HH000379,client_1,life,369.39,744472.05,2046-09-30
HH000380_PP1,HH000380,client_1,ltc,201.35,220122.71,2044-11-16
HH000381_PP1,HH000381,client_1,life,605.39,793843.6,2055-10-15
HH000384_PP1,HH000384,client_1,disability,338.76,1159372.89,2036-07-05
HH000385_PP1,HH000385,client_1,disability,195.46,985123.95,2052-11-21
HH000387_PP1,HH000387,client_1,life,79.69,203203.07,2047-09-16
HH000388_PP1,HH000388,client_1,ltc,561.02,1039296.34,2046-10-03
HH000389_PP1,HH000389,client_1,ltc,666.49,1014637.67,2052-11-18
HH000392_PP1,HH000392,client_1,ltc,107.35,424230.44,2035-03-02
HH000393_PP1,HH000393,client_1,ltc,909.41,1027696.31,2038-06-08
HH000394_PP1,HH000394,client_1,ltc,613.61,961943.08,2040-01-16
HH000398_PP1,HH000398,client_1,disability,367.83,1309105.36,2050-01-26
HH000399_PP1,HH000399,client_1,life,362.99,369357.42,2050-11-14
HH000401_PP1,HH000401,client_1,disability,936.13,863621.87,2032-05-29
HH000402_PP1,HH000402,client_1,ltc,215.44,324999.53,2038-07-31
HH000404_PP1,HH000404,client_1,ltc,639.82,596742.94,2046-09-16
HH000406_PP1,HH000406,client_1,life,440.56,492077.72,2043-05-08
HH000407_PP1,HH000407,client_1,ltc,335.38,433135.62,2059-08-26
HH000408_PP1,HH000408,client_1,ltc,99.06,533851.94,2047-04-22
HH000409_PP1,HH000409,client_1,disability,238.1,1322399.9,2040-08-03
HH000410_PP1,HH000410,client_1,life,1531.19,2026059.6,2032-08-03
HH000412_PP1,HH000412,client_1,ltc,284.48,1066767.72,2053-05-30
HH000415_PP1,HH000415,client_1,disability,1119.53,1138190.83,2040-11-03
HH000419_PP1,HH000419,client_1,ltc,1205.83,1179130.83,2040-11-16
HH000420_PP1,HH000420,client_1,ltc,2485.53,2613757.35,2059-06-19
HH000422_PP1,HH000422,client_1,disability,504.37,924697.6,2040-06-20
HH000424_PP1,HH000424,client_1,life,153.49,599827.54,2041-05-27
HH000426_PP1,HH000426,client_1,disability,862.05,950548.49,2047-10-19
HH000427_PP1,HH000427,client_1,life,85.82,229873.03,2059-12-06
HH000429_PP1,HH000429,client_1,life,363.94,1107712.91,2033-06-03
HH000430_PP1,HH000430,client_1,ltc,159.12,330848.46,2054-06-24
HH000432_PP1,HH000432,client_1,life,131.44,239292.96,2044-08-27
HH000433_PP1,HH000433,client_1,disability,76.01,217689.75,2052-03-12
HH000435_PP1,HH000435,client_1,life,511.35,490023.03,2057-09-12
HH000436_PP1,HH000436,client_1,life,50.15,104452.61,2058-08-31
HH000437_PP1,HH000437,client_1,disability,2068.58,2576100.57,2041-05-29
HH000438_PP1,HH000438,client_1,life,306.67,690198.17,2037-02-14
HH000440_PP1,HH000440,client_1,disability,636.54,670312.77,2041-12-17
HH000441_PP1,HH000441,client_1,life,42.91,269429.45,2042-12-26
HH000442_PP1,HH000442,client_1,disability,432.33,573447.9,2049-08-18
HH000443_PP1,HH000443,client_1,life,229.97,611080.98,2038-01-28
HH000444_PP1,HH000444,client_1,disability,206.92,590041.57,2050-02-14
HH000446_PP1,HH000446,client_1,disability,98.14,441603.34,2042-09-27
HH000448_PP1,HH000448,client_1,disability,173.68,365965.66,2051-07-30
HH000449_PP1,HH000449,client_1,ltc,736.2,804782.1,2039-07-07
HH000452_PP1,HH000452,client_1,ltc,1139.97,1131469.41,2043-09-15
HH000453_PP1,HH000453,client_1,disability,853.5,1070205.75,2035-11-28
HH000454_PP1,HH000454,client_1,ltc,422.47,1139260.77,2054-08-11
HH000455_PP1,HH000455,client_1,disability,214.07,1366947.06,2054-01-18
HH000456_PP1,HH000456,client_1,disability,1993.42,2706688.39,2060-04-02
HH000457_PP1,HH000457,client_1,disability,119.03,119805.4,2052-02-19
HH000459_PP1,HH000459,client_1,life,211.04,259010.61,2049-10-12
HH000460_PP1,HH000460,client_1,ltc,2068.25,2058221.3,2037-04-28
HH000464_PP1,HH000464,client_1,disability,264.0,382814.87,2053-03-08
HH000465_PP1,HH000465,client_1,disability,576.29,572836.33,2031-10-22
HH000466_PP1,HH000466,client_1,life,97.77,141445.73,2054-10-14
HH000468_PP1,HH000468,client_1,disability,106.78,436931.77,2045-02-07
HH000469_PP1,HH000469,client_1,ltc,411.75,521879.87,2048-01-21
HH000470_PP1,HH000470,client_1,disability,998.15,949892.2,2059-09-28
HH000471_PP1,HH000471,client_1,life,320.01,837400.42,2054-03-08
HH000473_PP1,HH000473,client_1,life,1542.98,2009736.85,2054-06-13
HH000475_PP1,HH000475,client_1,disability,1503.32,1393230.5,2034-09-13
HH000476_PP1,HH000476,client_1,ltc,356.3,540144.88,2049-09-05
HH000477_PP1,HH000477,client_1,disability,371.81,761571.48,2058-11-13
HH000480_PP1,HH000480,client_1,ltc,540.01,604405.4,2040-10-21
HH000481_PP1,HH000481,client_1,life,334.39,472105.62,2039-12-19
HH000482_PP1,HH000482,client_1,disability,364.66,1312550.23,2038-06-19
HH000483_PP1,HH000483,client_1,ltc,216.14,280376.59,2060-08-30
HH000488_PP1,HH000488,client_1,life,452.68,588791.76,2053-02-08
HH000494_PP1,HH000494,client_1,ltc,1167.36,1162314.44,2059-05-19
HH000495_PP1,HH000495,client_1,disability,833.51,979091.11,2039-01-04
HH000496_PP1,HH000496,client_1,disability,18.8,64459.88,2032-04-03
HH000498_PP1,HH000498,client_1,ltc,172.38,942977.93,2056-08-10
HH000499_PP1,HH000499,client_1,ltc,227.2,754305.96,2034-03-30
HH000504_PP1,HH000504,client_1,life,138.57,355462.94,2052-11-03
HH000505_PP1,HH000505,client_1,disability,571.19,593242.65,2039-11-21
HH000506_PP1,HH000506,client_1,disability,172.04,586531.73,2045-05-12
HH000507_PP1,HH000507,client_1,life,72.42,199011.15,2046-04-01
HH000508_PP1,HH000508,client_1,life,604.95,965039.87,2059-12-27
HH000510_PP1,HH000510,client_1,life,523.18,813133.14,2049-06-14
HH000512_PP1,HH000512,client_1,life,338.57,575463.58,2034-04-28
HH000513_PP1,HH000513,client_1,ltc,42.53,190847.23,2044-01-16
HH000516_PP1,HH000516,client_1,disability,503.21,521430.25,2048-09-15
HH000520_PP1,HH000520,client_1,disability,516.07,2776117.27,2058-11-16
HH000524_PP1,HH000524,client_1,life,388.16,601131.46,2043-03-16
HH000525_PP1,HH000525,client_1,life,210.52,526398.64,2045-06-17
HH000528_PP1,HH000528,client_1,life,1395.07,1987832.66,2059-04-12
HH000529_PP1,HH000529,client_1,ltc,1207.9,1249731.3,2036-08-21
HH000530_PP1,HH000530,client_1,ltc,88.08,234250.6,2036-01-02
HH000531_PP1,HH000531,client_1,ltc,2426.22,2906845.36,2031-05-28
HH000535_PP1,HH000535,client_1,life,274.4,765567.11,2039-12-08
HH000539_PP1,HH000539,client_1,ltc,62.43,312564.55,2042-03-31
HH000540_PP1,HH000540,client_1,life,320.16,1169645.83,2059-01-08
HH000542_PP1,HH000542,client_1,ltc,664.58,777747.94,2045-06-01
HH000543_PP1,HH000543,client_1,life,138.32,203493.55,2037-03-09
HH000545_PP1,HH000545,client_1,ltc,788.17,2043434.05,2035-11-03
HH000547_PP1,HH000547,client_1,ltc,259.6,387088.16,2040-01-14
HH000548_PP1,HH000548,client_1,ltc,1021.39,1009071.27,2056-04-10
HH000550_PP1,HH000550,client_1,ltc,255.86,448861.4,2055-02-17
HH000552_PP1,HH000552,client_1,disability,4456.02,5565109.72,2053-06-14
HH000555_PP1,HH000555,client_1,ltc,198.44,232274.19,2048-12-20
HH000556_PP1,HH000556,client_1,ltc,666.88,1449538.76,2049-07-19
HH000558_PP1,HH000558,client_1,ltc,91.26,439314.59,2048-08-18
HH000559_PP1,HH000559,client_1,disability,447.78,1411578.49,2057-07-11
HH000560_PP1,HH000560,client_1,disability,251.8,369703.21,2036-11-16
HH000562_PP1,HH000562,client_1,life,523.67,521482.01,2045-08-23
HH000563_PP1,HH000563,client_1,life,309.48,289940.65,2045-04-12
HH000564_PP1,HH000564,client_1,disability,228.23,249767.25,2057-12-31
HH000567_PP1,HH000567,client_1,disability,239.0,255072.84,2046-11-09
HH000568_PP1,HH000568,client_1,ltc,1170.29,1879604.25,2043-07-11
HH000572_PP1,HH000572,client_1,ltc,434.99,440627.7,2061-04-04
HH000573_PP1,HH000573,client_1,life,764.7,741156.17,2037-10-23
HH000574_PP1,HH000574,client_1,disability,68.13,241710.62,2035-11-07
HH000575_PP1,HH000575,client_1,disability,38.73,226734.86,2055-04-25
HH000576_PP1,HH000576,client_1,ltc,966.43,1298931.42,2052-05-01
HH000578_PP1,HH000578,client_1,life,598.47,891297.21,2052-05-30
HH000579_PP1,HH000579,client_1,disability,1317.22,1377715.51,2053-03-11
HH000580_PP1,HH000580,client_1,life,961.2,1235376.68,2037-11-02
HH000581_PP1,HH000581,client_1,disability,746.53,1044363.94,2046-11-12
HH000582_PP1,HH000582,client_1,ltc,93.19,140533.31,2038-12-20
HH000583_PP1,HH000583,client_1,disability,477.44,443538.32,2032-12-07
HH000584_PP1,HH000584,client_1,ltc,761.54,1079247.3,2045-04-16
HH000586_PP1,HH000586,client_1,ltc,552.17,510192.09,2046-10-18
HH000587_PP1,HH000587,client_1,life,601.59,1073007.62,2060-01-29
HH000588_PP1,HH000588,client_1,disability,130.43,245835.56,2045-03-04
HH000591_PP1,HH000591,client_1,disability,593.78,558942.67,2041-02-03
HH000592_PP1,HH000592,client_1,disability,22.69,139529.13,2050-08-20
HH000594_PP1,HH000594,client_1,ltc,482.01,515182.18,2057-07-11
HH000596_PP1,HH000596,client_1,disability,548.62,547054.27,2057-04-28
HH000597_PP1,HH000597,client_1,life,711.66,1886142.42,2053-03-19
HH000599_PP1,HH000599,client_1,life,653.83,719659.63,2038-02-07
HH000600_PP1,HH000600,client_1,life,205.71,396479.85,2046-06-29
HH000607_PP1,HH000607,client_1,disability,598.35,967051.69,2041-12-27
HH000611_PP1,HH000611,client_1,ltc,461.71,527656.61,2058-09-17
HH000613_PP1,HH000613,client_1,ltc,661.3,627141.82,2042-12-25
HH000614_PP1,HH000614,client_1,disability,555.43,765690.34,2039-10-08
HH000615_PP1,HH000615,client_1,life,326.91,615925.06,2052-02-05
HH000617_PP1,HH000617,client_1,ltc,42.03,160155.62,2036-04-02
HH000618_PP1,HH000618,client_1,ltc,511.78,952858.82,2059-08-18
HH000619_PP1,HH000619,client_1,disability,446.55,547021.94,2044-09-04
HH000622_PP1,HH000622,client_1,disability,50.31,277117.13,2057-06-26
HH000623_PP1,HH000623,client_1,life,232.86,1529442.06,2046-11-13
HH000630_PP1,HH000630,client_1,disability,1294.52,1266418.84,2039-01-21
HH000631_PP1,HH000631,client_1,life,915.11,1447128.46,2038-09-12
HH000633_PP1,HH000633,client_1,life,344.08,903310.43,2046-06-26
HH000635_PP1,HH000635,client_1,disability,75.7,119262.82,2053-03-27
HH000636_PP1,HH000636,client_1,disability,1598.93,3010619.16,2061-03-25
HH000637_PP1,HH000637,client_1,ltc,58.18,234373.29,2038-12-02
HH000638_PP1,HH000638,client_1,disability,211.52,609482.29,2043-10-19
HH000640_PP1,HH000640,client_1,ltc,290.08,685192.51,2031-06-04
HH000644_PP1,HH000644,client_1,disability,1374.46,3142935.16,2047-10-03
HH000646_PP1,HH000646,client_1,life,650.83,662664.93,2042-11-27
HH000647_PP1,HH000647,client_1,ltc,336.6,328444.34,2043-04-17
HH000648_PP1,HH000648,client_1,disability,522.55,652105.57,2051-05-27
HH000649_PP1,HH000649,client_1,life,214.29,1355496.5,2035-07-22
HH000650_PP1,HH000650,client_1,ltc,50.52,233750.13,2056-09-05
HH000651_PP1,HH000651,client_1,ltc,773.91,861204.87,2034-12-11
HH000653_PP1,HH000653,client_1,life,2637.17,2568142.56,2053-07-11
HH000654_PP1,HH000654,client_1,ltc,1268.76,1255603.32,2054-03-16
HH000655_PP1,HH000655,client_1,disability,113.82,187055.33,2047-11-29
HH000656_PP1,HH000656,client_1,life,1399.59,1640477.17,2038-04-15
