asset_id,household_id,owner,asset_type,subtype,provider_type,value,is_joint
HH000033_A1,HH000033,client_1,brokerage,taxable,brokerage,509349.3,False
HH000033_A2,HH000033,client_1,retirement,401k_ira,retirement_platform,242813.46,False
HH000033_A3,HH000033,joint,cash,bank,advisor_platform,151659.08,True
HH000033_A4,HH000033,client_1,alternatives,private_markets,bank,12384.4,False
HH000033_A5,HH000033,client_1,property,primary_residence,brokerage,640053.35,False
HH000034_A1,HH000034,joint,brokerage,taxable,brokerage,461508.45,True
HH000034_A2,HH000034,client_1,retirement,401k_ira,insurance,183710.45,False
HH000034_A3,HH000034,joint,cash,bank,bank,59741.8,True
HH000034_A4,HH000034,client_1,alternatives,private_markets,advisor_platform,9353.82,False
HH000034_A5,HH000034,client_1,property,primary_residence,advisor_platform,465403.99,False
HH000035_A1,HH000035,client_1,brokerage,taxable,advisor_platform,1068386.78,False
HH000035_A2,HH000035,client_1,retirement,401k_ira,advisor_platform,297521.71,False
HH000035_A3,HH000035,joint,cash,bank,insurance,71715.36,True
HH000035_A4,HH000035,client_1,alternatives,private_markets,bank,107227.25,False
HH000035_A5,HH000035,client_1,property,primary_residence,brokerage,1017110.79,False
HH000036_A1,HH000036,client_1,brokerage,taxable,advisor_platform,3801025.9,False
HH000036_A2,HH000036,client_1,retirement,401k_ira,advisor_platform,1666628.61,False
HH000036_A3,HH000036,client_1,cash,bank,insurance,299413.77,False
HH000036_A4,HH000036,client_1,alternatives,private_markets,bank,777641.97,False
HH000036_A5,HH000036,client_1,property,primary_residence,bank,3245779.15,False
HH000037_A1,HH000037,client_1,brokerage,taxable,advisor_platform,362682.27,False
HH000037_A2,HH000037,client_2,retirement,401k_ira,brokerage,259179.4,False
HH000037_A3,HH000037,joint,cash,bank,bank,54116.75,True
HH000037_A4,HH000037,client_1,alternatives,private_markets,advisor_platform,6911.02,False
HH000037_A5,HH000037,client_1,property,primary_residence,retirement_platform,452775.79,False
HH000038_A1,HH000038,client_2,brokerage,taxable,bank,3977324.8,False
HH000038_A2,HH000038,client_1,retirement,401k_ira,insurance,1099131.51,False
HH000038_A3,HH000038,client_1,cash,bank,insurance,286376.72,False
HH000038_A4,HH000038,client_1,alternatives,private_markets,brokerage,1106616.96,False
HH000038_A5,HH000038,joint,property,primary_residence,brokerage,4577648.58,True
HH000039_A1,HH000039,joint,brokerage,taxable,advisor_platform,4186865.18,True
HH000039_A2,HH000039,client_1,retirement,401k_ira,brokerage,1481970.49,False
HH000039_A3,HH000039,joint,cash,bank,brokerage,507779.44,True
HH000039_A4,HH000039,client_2,alternatives,private_markets,advisor_platform,538220.12,False
HH000039_A5,HH000039,client_1,property,primary_residence,bank,1759430.09,False
HH000040_A1,HH000040,client_1,brokerage,taxable,advisor_platform,2879664.34,False
HH000040_A2,HH000040,client_2,retirement,401k_ira,brokerage,1522271.43,False
HH000040_A3,HH000040,client_1,cash,bank,bank,667661.66,False
HH000040_A4,HH000040,client_2,alternatives,private_markets,brokerage,519965.94,False
HH000040_A5,HH000040,joint,property,primary_residence,brokerage,5448625.88,True
HH000041_A1,HH000041,client_1,brokerage,taxable,advisor_platform,419561.36,False
HH000041_A2,HH000041,client_1,retirement,401k_ira,brokerage,108856.27,False
HH000041_A3,HH000041,client_1,cash,bank,bank,57792.78,False
HH000041_A4,HH000041,client_2,alternatives,private_markets,brokerage,16732.95,False
HH000041_A5,HH000041,joint,property,primary_residence,insurance,366459.09,True
HH000042_A1,HH000042,joint,brokerage,taxable,insurance,638293.98,True
HH000042_A2,HH000042,client_1,retirement,401k_ira,retirement_platform,343263.99,False
HH000042_A3,HH000042,joint,cash,bank,insurance,161450.79,True
HH000042_A4,HH000042,client_1,alternatives,private_markets,retirement_platform,212857.01,False
HH000042_A5,HH000042,client_1,property,primary_residence,retirement_platform,1082302.4,False
HH000043_A1,HH000043,joint,brokerage,taxable,retirement_platform,379942.99,True
HH000043_A2,HH000043,client_2,retirement,401k_ira,bank,180687.58,False
HH000043_A3,HH000043,client_1,cash,bank,bank,107087.36,False
HH000043_A4,HH000043,client_1,alternatives,private_markets,brokerage,10886.06,False
HH000043_A5,HH000043,joint,property,primary_residence,brokerage,655761.8,True
HH000044_A1,HH000044,joint,brokerage,taxable,retirement_platform,2092513.86,True
HH000044_A2,HH000044,client_2,retirement,401k_ira,insurance,1246119.41,False
HH000044_A3,HH000044,client_2,cash,bank,bank,292646.59,False
HH000044_A4,HH000044,client_1,alternatives,private_markets,advisor_platform,529769.09,False
HH000044_A5,HH000044,joint,property,primary_residence,bank,991479.86,True
HH000045_A1,HH000045,client_2,brokerage,taxable,brokerage,295867.82,False
HH000045_A2,HH000045,client_1,retirement,401k_ira,insurance,161582.83,False
HH000045_A3,HH000045,joint,cash,bank,brokerage,39271.07,True
HH000045_A4,HH000045,client_1,alternatives,private_markets,bank,24240.21,False
HH000045_A5,HH000045,joint,property,primary_residence,brokerage,398028.58,True
HH000046_A1,HH000046,joint,brokerage,taxable,bank,1109325.34,True
HH000046_A2,HH000046,client_1,retirement,401k_ira,advisor_platform,600966.78,False
HH000046_A3,HH000046,joint,cash,bank,advisor_platform,210717.28,True
HH000046_A4,HH000046,client_2,alternatives,private_markets,retirement_platform,78990.6,False
HH000046_A5,HH000046,client_1,property,primary_residence,brokerage,474558.88,False
HH000047_A1,HH000047,client_1,brokerage,taxable,retirement_platform,307065.97,False
HH000047_A2,HH000047,client_1,retirement,401k_ira,bank,106529.1,False
HH000047_A3,HH000047,client_1,cash,bank,advisor_platform,55147.75,False
HH000047_A4,HH000047,client_1,alternatives,private_markets,insurance,13175.98,False
HH000047_A5,HH000047,client_1,property,primary_residence,brokerage,350000.0,False
HH000048_A1,HH000048,client_1,brokerage,taxable,brokerage,488692.39,False
HH000048_A2,HH000048,client_2,retirement,401k_ira,insurance,156227.24,False
HH000048_A3,HH000048,client_1,cash,bank,retirement_platform,117297.54,False
HH000048_A4,HH000048,client_1,alternatives,private_markets,bank,34417.59,False
HH000048_A5,HH000048,client_1,property,primary_residence,brokerage,364967.4,False
HH000049_A1,HH000049,client_1,brokerage,taxable,bank,4790951.96,False
HH000049_A2,HH000049,client_2,retirement,401k_ira,bank,1128438.16,False
HH000049_A3,HH000049,joint,cash,bank,retirement_platform,529016.45,True
HH000049_A4,HH000049,client_1,alternatives,private_markets,insurance,238013.44,False
HH000049_A5,HH000049,client_1,property,primary_residence,retirement_platform,1423212.6,False
HH000050_A1,HH000050,joint,brokerage,taxable,bank,488694.1,True
HH000050_A2,HH000050,client_1,retirement,401k_ira,brokerage,607043.88,False
HH000050_A3,HH000050,joint,cash,bank,retirement_platform,163036.23,True
HH000050_A4,HH000050,client_1,alternatives,private_markets,advisor_platform,40045.13,False
HH000050_A5,HH000050,client_1,property,primary_residence,retirement_platform,387186.93,False
HH000051_A1,HH000051,joint,brokerage,taxable,retirement_platform,511752.09,True
HH000051_A2,HH000051,client_2,retirement,401k_ira,retirement_platform,256730.85,False
HH000051_A3,HH000051,client_2,cash,bank,insurance,165332.6,False
HH000051_A4,HH000051,client_1,alternatives,private_markets,brokerage,13583.04,False
HH000051_A5,HH000051,joint,property,primary_residence,advisor_platform,977298.61,True
HH000052_A1,HH000052,client_1,brokerage,taxable,insurance,163209.32,False
HH000052_A2,HH000052,client_1,retirement,401k_ira,advisor_platform,70405.98,False
HH000052_A3,HH000052,client_1,cash,bank,retirement_platform,40276.14,False
HH000052_A4,HH000052,client_1,alternatives,private_markets,retirement_platform,10767.91,False
HH000052_A5,HH000052,client_1,property,primary_residence,insurance,350000.0,False
HH000053_A1,HH000053,joint,brokerage,taxable,retirement_platform,688404.55,True
HH000053_A2,HH000053,client_1,retirement,401k_ira,advisor_platform,490969.82,False
HH000053_A3,HH000053,joint,cash,bank,retirement_platform,173841.13,True
HH000053_A4,HH000053,client_2,alternatives,private_markets,bank,43.46,False
HH000053_A5,HH000053,joint,property,primary_residence,retirement_platform,974497.95,True
HH000054_A1,HH000054,client_1,brokerage,taxable,insurance,184968.35,False
HH000054_A2,HH000054,client_1,retirement,401k_ira,bank,139249.3,False
HH000054_A3,HH000054,client_1,cash,bank,insurance,27052.78,False
HH000054_A4,HH000054,client_1,alternatives,private_markets,insurance,15629.29,False
HH000054_A5,HH000054,client_1,property,primary_residence,insurance,350000.0,False
HH000055_A1,HH000055,client_1,brokerage,taxable,retirement_platform,728155.48,False
HH000055_A2,HH000055,client_1,retirement,401k_ira,brokerage,157488.2,False
HH000055_A3,HH000055,client_1,cash,bank,insurance,147426.16,False
HH000055_A4,HH000055,client_1,alternatives,private_markets,advisor_platform,197388.34,False
HH000055_A5,HH000055,client_1,property,primary_residence,insurance,1617523.08,False
HH000056_A1,HH000056,client_2,brokerage,taxable,insurance,810984.25,False
HH000056_A2,HH000056,client_1,retirement,401k_ira,bank,526469.19,False
HH000056_A3,HH000056,client_1,cash,bank,brokerage,143170.04,False
HH000056_A4,HH000056,client_2,alternatives,private_markets,brokerage,15726.08,False
HH000056_A5,HH000056,client_2,property,primary_residence,insurance,473609.08,False
HH000057_A1,HH000057,client_1,brokerage,taxable,brokerage,4165574.45,False
HH000057_A2,HH000057,client_1,retirement,401k_ira,insurance,2208798.95,False
HH000057_A3,HH000057,client_1,cash,bank,brokerage,914835.78,False
HH000057_A4,HH000057,client_1,alternatives,private_markets,retirement_platform,1495113.55,False
HH000057_A5,HH000057,client_1,property,primary_residence,brokerage,4978541.37,False
HH000058_A1,HH000058,client_1,brokerage,taxable,insurance,3151614.52,False
HH000058_A2,HH000058,client_1,retirement,401k_ira,advisor_platform,1005257.74,False
HH000058_A3,HH000058,client_2,cash,bank,advisor_platform,464717.78,False
HH000058_A4,HH000058,client_2,alternatives,private_markets,retirement_platform,201301.97,False
HH000058_A5,HH000058,joint,property,primary_residence,brokerage,5581088.91,True
HH000059_A1,HH000059,joint,brokerage,taxable,brokerage,334997.96,True
HH000059_A2,HH000059,client_2,retirement,401k_ira,retirement_platform,246107.13,False
HH000059_A3,HH000059,client_1,cash,bank,bank,62400.57,False
HH000059_A4,HH000059,client_2,alternatives,private_markets,brokerage,14470.65,False
HH000059_A5,HH000059,joint,property,primary_residence,advisor_platform,370668.61,True
HH000060_A1,HH000060,client_1,brokerage,taxable,advisor_platform,4290331.74,False
HH000060_A2,HH000060,client_2,retirement,401k_ira,insurance,1089312.71,False
HH000060_A3,HH000060,joint,cash,bank,retirement_platform,337557.85,True
HH000060_A4,HH000060,client_1,alternatives,private_markets,brokerage,850499.61,False
HH000060_A5,HH000060,client_2,property,primary_residence,insurance,3399247.83,False
HH000061_A1,HH000061,client_1,brokerage,taxable,brokerage,821201.41,False
HH000061_A2,HH000061,client_1,retirement,401k_ira,retirement_platform,516028.29,False
HH000061_A3,HH000061,client_1,cash,bank,bank,308733.29,False
HH000061_A4,HH000061,client_1,alternatives,private_markets,bank,81802.46,False
HH000061_A5,HH000061,client_1,property,primary_residence,retirement_platform,518878.7,False
HH000062_A1,HH000062,client_2,brokerage,taxable,brokerage,481964.61,False
HH000062_A2,HH000062,client_1,retirement,401k_ira,advisor_platform,359810.87,False
HH000062_A3,HH000062,client_1,cash,bank,insurance,184126.55,False
HH000062_A4,HH000062,client_2,alternatives,private_markets,insurance,34569.37,False
HH000062_A5,HH000062,client_2,property,primary_residence,bank,652495.17,False
HH000063_A1,HH000063,joint,brokerage,taxable,retirement_platform,218447.09,True
HH000063_A2,HH000063,client_1,retirement,401k_ira,retirement_platform,122357.83,False
HH000063_A3,HH000063,joint,cash,bank,retirement_platform,72552.24,True
HH000063_A4,HH000063,client_2,alternatives,private_markets,advisor_platform,11454.54,False
HH000063_A5,HH000063,client_2,property,primary_residence,insurance,361356.85,False
HH000064_A1,HH000064,client_1,brokerage,taxable,insurance,4975708.55,False
HH000064_A2,HH000064,client_2,retirement,401k_ira,brokerage,1080043.65,False
HH000064_A3,HH000064,joint,cash,bank,bank,725073.52,True
HH000064_A4,HH000064,client_2,alternatives,private_markets,advisor_platform,775652.36,False
HH000064_A5,HH000064,client_1,property,primary_residence,brokerage,6586180.36,False
HH000065_A1,HH000065,client_1,brokerage,taxable,brokerage,183087.51,False
HH000065_A2,HH000065,client_1,retirement,401k_ira,retirement_platform,46039.34,False
HH000065_A3,HH000065,client_1,cash,bank,advisor_platform,20873.15,False
HH000065_A4,HH000065,client_1,property,primary_residence,retirement_platform,300000.0,False
HH000066_A1,HH000066,client_2,brokerage,taxable,retirement_platform,290189.67,False
HH000066_A2,HH000066,client_1,retirement,401k_ira,brokerage,139035.73,False
HH000066_A3,HH000066,client_1,cash,bank,bank,32127.59,False
HH000066_A4,HH000066,client_2,alternatives,private_markets,brokerage,17761.91,False
HH000066_A5,HH000066,client_1,property,primary_residence,retirement_platform,497915.95,False
HH000067_A1,HH000067,client_2,brokerage,taxable,brokerage,283169.91,False
HH000067_A2,HH000067,client_1,retirement,401k_ira,insurance,235709.49,False
HH000067_A3,HH000067,client_1,cash,bank,brokerage,82928.33,False
HH000067_A4,HH000067,client_2,alternatives,private_markets,bank,28992.26,False
HH000067_A5,HH000067,client_1,property,primary_residence,advisor_platform,414471.84,False
HH000068_A1,HH000068,client_2,brokerage,taxable,insurance,1066924.67,False
HH000068_A2,HH000068,client_1,retirement,401k_ira,bank,668069.37,False
HH000068_A3,HH000068,client_1,cash,bank,retirement_platform,131666.52,False
HH000068_A4,HH000068,client_1,alternatives,private_markets,insurance,371119.24,False
HH000068_A5,HH000068,client_1,property,primary_residence,advisor_platform,1107112.67,False
HH000069_A1,HH000069,joint,brokerage,taxable,advisor_platform,4099921.18,True
HH000069_A2,HH000069,client_1,retirement,401k_ira,advisor_platform,2295834.88,False
HH000069_A3,HH000069,client_2,cash,bank,bank,508801.09,False
HH000069_A4,HH000069,client_1,alternatives,private_markets,retirement_platform,529542.53,False
HH000069_A5,HH000069,client_1,property,primary_residence,bank,2527064.94,False
HH000070_A1,HH000070,client_2,brokerage,taxable,bank,1228448.77,False
HH000070_A2,HH000070,client_2,retirement,401k_ira,retirement_platform,271456.43,False
HH000070_A3,HH000070,joint,cash,bank,brokerage,118227.45,True
HH000070_A4,HH000070,client_1,alternatives,private_markets,retirement_platform,159266.37,False
HH000070_A5,HH000070,joint,property,primary_residence,bank,1740317.13,True
HH000071_A1,HH000071,client_1,brokerage,taxable,retirement_platform,1119571.29,False
HH000071_A2,HH000071,client_1,retirement,401k_ira,advisor_platform,422970.43,False
HH000071_A3,HH000071,client_1,cash,bank,insurance,99324.66,False
HH000071_A4,HH000071,client_1,alternatives,private_markets,insurance,251690.43,False
HH000071_A5,HH000071,client_1,property,primary_residence,bank,1572931.28,False
HH000072_A1,HH000072,joint,brokerage,taxable,retirement_platform,797084.85,True
HH000072_A2,HH000072,client_2,retirement,401k_ira,bank,333579.14,False
HH000072_A3,HH000072,client_1,cash,bank,insurance,175321.8,False
HH000072_A4,HH000072,client_1,alternatives,private_markets,advisor_platform,33941.09,False
HH000072_A5,HH000072,client_1,property,primary_residence,advisor_platform,484625.83,False
HH000073_A1,HH000073,joint,brokerage,taxable,advisor_platform,231798.53,True
HH000073_A2,HH000073,client_1,retirement,401k_ira,insurance,162551.85,False
HH000073_A3,HH000073,joint,cash,bank,insurance,69940.5,True
HH000073_A4,HH000073,client_1,alternatives,private_markets,advisor_platform,9683.31,False
HH000073_A5,HH000073,joint,property,primary_residence,bank,380155.74,True
HH000074_A1,HH000074,client_1,brokerage,taxable,advisor_platform,4205360.37,False
HH000074_A2,HH000074,client_1,retirement,401k_ira,retirement_platform,1503636.14,False
HH000074_A3,HH000074,joint,cash,bank,brokerage,269631.68,True
HH000074_A4,HH000074,client_2,alternatives,private_markets,insurance,462516.21,False
HH000074_A5,HH000074,joint,property,primary_residence,brokerage,5110702.84,True
HH000075_A1,HH000075,joint,brokerage,taxable,bank,7037077.92,True
