household_id,scenario,country,market,marital_status,residence_state,move_in_date,num_adults,num_dependants,youngest_child_dob,oldest_child_dob,annual_household_gross_income,monthly_expenses_total,expense_to_income_ratio,annual_alimony_paid,has_mortgage_or_loan,loan_outstanding_total,monthly_debt_cost_total,monthly_mortgage_payment_total,monthly_non_mortgage_payment_total,mortgage_payment_to_income_ratio,property_value_total,investable_assets_total,retirement_assets_total,cash_and_cashlike_total,alternatives_total,net_worth_proxy,risk_tolerance,investment_objectives,tax_bracket_band,client_segment
HH000014,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,Other,2011-08-15,2,0,,,207952.29,9342.14,0.5391,0.0,True,113832.51,1288.38,943.69,344.68,0.0545,340753.83,640951.79,176229.74,80173.26,8545.62,892567.27,growth,capital_preservation|estate_planning,35%,affluent_ria_like
HH000015,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2010-02-20,2,3,2019-01-08,2006-04-23,163208.0,11463.0,0.8428,0.0,True,255726.92,3081.71,2895.35,186.36,0.2129,463372.51,883200.67,187179.6,65962.5,7307.06,1105072.73,conservative,estate_planning,37%,affluent_ria_like
HH000016,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,FL,2010-08-22,2,0,,,163208.0,7571.31,0.5567,0.0,False,0.0,0.0,0.0,0.0,0.0,392025.92,1031429.08,343777.22,92563.42,158295.58,1485102.36,moderate,education,32%,affluent_ria_like
HH000017,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2013-06-11,2,0,,,188121.63,8358.4,0.5332,0.0,True,2126.35,333.3,0.0,333.3,0.0,907826.81,814475.2,248237.76,63724.05,142173.88,1727680.95,growth,wealth_growth,37%,affluent_ria_like
HH000018,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,NY,2009-10-12,2,2,2008-05-01,2003-07-02,185228.94,6016.07,0.3897,0.0,False,0.0,0.0,0.0,0.0,0.0,260396.57,811026.99,144055.3,70796.65,102740.89,1091383.16,moderate,capital_preservation|wealth_growth,35%,affluent_ria_like
HH000019,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2019-08-02,2,3,2025-09-03,2021-03-09,247542.63,19597.12,0.95,0.0,True,264913.91,5721.2,5721.2,0.0,0.2773,348527.2,892161.76,129141.58,50132.15,137083.72,1018037.31,conservative,income,24%,affluent_ria_like
HH000020,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2012-08-17,2,0,,,174575.67,5552.81,0.3817,0.0,False,0.0,0.0,0.0,0.0,0.0,468700.51,696009.14,130131.46,42896.79,42383.47,1193782.87,moderate,retirement|wealth_growth,37%,affluent_ria_like
HH000021,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2010-08-08,2,0,,,188703.2,10357.88,0.6587,0.0,True,154991.46,3732.06,3240.2,491.87,0.2061,222406.62,431969.77,85117.15,54516.69,1946.99,523462.06,growth,income|tax_optimization,35%,affluent_ria_like
HH000022,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2022-02-06,2,0,,,180408.29,8278.56,0.5507,0.0,True,8071.8,551.36,0.0,551.36,0.0,262826.33,411060.48,109354.58,44109.8,0.0,689801.55,aggressive,income,37%,affluent_ria_like
HH000023,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,NC,2004-05-12,2,1,2006-08-16,2006-08-16,216307.77,17124.37,0.95,0.0,True,192792.65,6836.27,6836.27,0.0,0.3793,256154.24,544906.85,170072.36,40815.56,49353.38,636071.33,moderate,education|retirement,24%,affluent_ria_like
HH000024,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2019-12-06,2,0,,,213132.0,8227.12,0.4632,0.0,False,0.0,0.0,0.0,0.0,0.0,322332.78,557661.15,147565.11,53652.13,0.0,886649.47,aggressive,capital_preservation|income|retirement,35%,affluent_ria_like
HH000025,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,NJ,2021-08-31,2,2,2007-02-19,2003-04-24,163208.0,8855.26,0.6511,0.0,True,146013.99,2727.57,2727.57,0.0,0.2005,252877.16,303947.31,87881.81,18021.92,42368.8,414246.04,growth,income|retirement,32%,affluent_ria_like
HH000026,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,PA,2005-10-23,2,0,,,211034.93,7506.96,0.4269,0.0,False,0.0,0.0,0.0,0.0,0.0,428645.75,774787.87,226385.73,65694.49,28625.91,1208613.05,aggressive,capital_preservation|income,24%,affluent_ria_like
HH000027,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,NC,2011-06-04,2,2,2025-05-05,2011-05-11,163208.0,7031.14,0.517,0.0,False,0.0,0.0,0.0,0.0,0.0,738640.34,676457.47,169792.21,40824.83,18788.38,1420258.01,aggressive,income|retirement|tax_optimization,24%,affluent_ria_like
HH000028,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,CA,2022-12-25,2,0,,,192051.69,7581.65,0.4737,71964.54,False,0.0,0.0,0.0,0.0,0.0,227615.23,982052.87,286031.58,102789.27,84711.95,1256776.69,growth,capital_preservation|retirement,24%,affluent_ria_like
HH000029,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2013-01-14,2,2,2023-10-24,2014-03-23,168771.22,12191.84,0.8669,0.0,True,155997.0,3844.31,3844.31,0.0,0.2733,322754.95,803615.83,251736.8,121717.95,80546.28,1024018.2,conservative,estate_planning|retirement|tax_optimization,24%,affluent_ria_like
HH000030,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,Other,2025-08-15,2,0,,,163208.0,7011.8,0.5155,0.0,False,0.0,0.0,0.0,0.0,0.0,163728.81,485360.57,113666.8,49899.34,87159.42,668436.99,moderate,education|retirement,35%,affluent_ria_like
HH000031,widowed,US,US_RIA,widowed,NC,2018-10-08,1,2,2026-03-14,2003-11-04,163208.0,4709.17,0.3462,0.0,False,0.0,0.0,0.0,0.0,0.0,311980.46,699094.24,156185.05,102586.03,7209.29,1043278.98,moderate,income|wealth_growth,32%,affluent_ria_like
HH000032,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,NJ,2024-08-20,2,3,2024-11-01,2009-11-15,163821.34,4790.76,0.3509,0.0,False,0.0,0.0,0.0,0.0,0.0,468397.46,536904.37,164546.84,69974.33,77488.36,1046617.09,moderate,estate_planning,35%,affluent_ria_like
HH000033,self_employed_business_owner,US,US_RIA,single,NY,2005-10-05,1,0,,,312243.56,16003.93,0.6151,0.0,True,361740.46,4118.18,4118.18,0.0,0.1583,1615462.84,1423996.06,415243.26,221860.91,21780.67,2725027.17,conservative,capital_preservation|education|retirement,35%,affluent_ria_like
HH000034,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,CA,2008-12-29,2,0,,,331721.17,13662.11,0.4942,0.0,False,0.0,0.0,0.0,0.0,0.0,376495.96,1211387.37,177125.23,156902.21,118833.38,1654324.75,growth,capital_preservation|education|income,35%,affluent_ria_like
HH000035,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,FL,2018-10-07,2,0,,,163208.0,7244.27,0.5326,0.0,True,232091.72,2751.5,2751.5,0.0,0.2023,378769.77,403009.49,94042.5,64057.81,0.0,554603.18,aggressive,capital_preservation|income|wealth_growth,35%,affluent_ria_like
HH000036,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,CA,2014-12-16,2,0,,,197647.53,6759.0,0.4104,0.0,False,0.0,0.0,0.0,0.0,0.0,737482.81,763791.59,184730.68,39900.88,69159.99,1516868.51,conservative,retirement,35%,affluent_ria_like
HH000037,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,CA,2008-01-06,2,5,2024-08-16,2008-12-05,479493.11,16602.91,0.4155,20989.97,True,11783.22,775.07,0.0,775.07,0.0,680551.21,1775561.48,542655.19,181802.05,162610.83,2454365.05,moderate,education,37%,affluent_ria_like
HH000038,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2017-03-19,2,1,2013-01-04,2013-01-04,417992.85,23409.71,0.6721,0.0,True,167485.48,4457.96,4457.96,0.0,0.128,1628920.23,1447133.47,362062.49,81716.9,193135.05,2935692.79,conservative,retirement,35%,affluent_ria_like
HH000039,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2020-03-12,2,1,2016-11-11,2016-11-11,172594.78,13663.75,0.95,0.0,True,189901.79,5180.64,5054.25,126.39,0.3514,250859.43,370111.32,62967.24,28969.43,51646.07,438219.2,aggressive,education|income,35%,affluent_ria_like
HH000040,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,NY,2016-01-27,2,5,2022-01-29,2012-06-04,229084.69,18135.87,0.95,0.0,True,207236.97,7300.61,7300.61,0.0,0.3824,276404.66,868468.94,262890.16,58746.41,103265.35,968706.91,moderate,capital_preservation|wealth_growth,32%,affluent_ria_like
HH000041,widowed,US,US_RIA,widowed,Other,2003-05-06,1,0,,,163208.0,5622.49,0.4134,0.0,False,0.0,0.0,0.0,0.0,0.0,389696.11,676983.07,177700.68,39073.85,41017.91,1115925.71,aggressive,income,32%,affluent_ria_like
HH000042,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,TX,2024-08-27,2,3,2017-07-12,2007-11-10,238108.45,18206.33,0.9175,0.0,True,219359.49,6685.07,6685.07,0.0,0.3369,395544.28,1194774.44,398325.17,173818.06,68582.12,1438252.01,moderate,capital_preservation|estate_planning|income,35%,affluent_ria_like
HH000043,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,FL,2011-06-24,2,3,2017-07-28,2009-12-19,163208.0,9936.82,0.7306,0.0,True,249274.42,2847.22,2847.22,0.0,0.2093,319614.29,647768.21,110604.51,58310.58,84459.14,726334.66,moderate,retirement,35%,affluent_ria_like
HH000044,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,FL,2016-02-20,2,2,2023-06-18,2017-09-05,174491.31,11941.75,0.8213,0.0,True,227020.34,3290.31,3290.31,0.0,0.2263,284052.52,804856.23,207975.32,42503.25,1080.24,915371.73,moderate,capital_preservation,32%,affluent_ria_like
HH000045,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,Other,2016-02-10,2,0,,,163208.0,8862.68,0.6516,0.0,True,4447.42,631.5,0.0,631.5,0.0,392884.23,601811.15,184749.33,89398.68,52357.75,1004776.62,conservative,education|wealth_growth,35%,affluent_ria_like
HH000046,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,Other,2017-05-10,2,0,,,185897.57,8439.37,0.5448,0.0,True,11635.33,503.07,503.07,0.0,0.0325,190681.22,549184.15,118087.08,29746.71,28948.83,759532.72,growth,capital_preservation|retirement,35%,affluent_ria_like
HH000047,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,Other,2013-10-12,2,0,,,204572.88,9509.45,0.5578,0.0,True,71159.11,1102.27,1102.27,0.0,0.0647,233097.2,749338.26,253485.86,57365.67,35378.06,913676.11,moderate,estate_planning|tax_optimization|wealth_growth,32%,affluent_ria_like
HH000048,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,NJ,2016-05-10,2,0,,,170445.67,8316.27,0.5855,0.0,False,0.0,0.0,0.0,0.0,0.0,321299.35,310419.93,52286.27,46258.92,0.0,648650.57,conservative,capital_preservation|estate_planning|income,35%,affluent_ria_like
HH000049,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2014-04-26,2,1,2005-03-06,2005-03-06,222026.95,17213.31,0.9303,0.0,True,847920.05,5426.54,5426.54,0.0,0.2933,1070456.75,1141369.6,339088.13,57833.12,191573.14,1375700.22,growth,retirement|wealth_growth,32%,affluent_ria_like
HH000050,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2016-10-28,2,0,,,163208.0,12418.78,0.9131,0.0,True,148182.97,5311.46,5311.46,0.0,0.3905,204717.22,309485.08,92845.52,41079.57,0.0,371653.16,growth,income,35%,affluent_ria_like
HH000051,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,CA,2011-08-20,2,0,,,225201.94,10732.16,0.5719,0.0,True,152027.96,1701.0,1701.0,0.0,0.0906,632990.32,604449.95,91049.65,35542.95,99106.06,1120418.53,moderate,retirement|tax_optimization,35%,affluent_ria_like
HH000052,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,Other,2004-05-20,2,0,,,226424.45,9263.77,0.491,0.0,False,0.0,0.0,0.0,0.0,0.0,862076.93,1246225.35,181279.46,81279.78,178968.45,2134636.59,conservative,capital_preservation|education|estate_planning,32%,affluent_ria_like
HH000053,self_employed_business_owner,US,US_RIA,married_or_civil_partner,Other,2015-03-21,2,0,,,294998.46,10641.62,0.4329,0.0,True,2412.96,273.29,0.0,273.29,0.0,776593.85,924617.85,277240.45,85445.02,7789.8,1723692.69,growth,education|estate_planning,37%,affluent_ria_like
HH000054,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,IL,2001-06-10,2,3,2021-11-23,2017-03-25,274542.15,21273.17,0.9298,0.0,True,154914.1,8884.8,8468.0,416.8,0.3701,215716.51,828356.65,163815.99,53852.89,136964.95,952570.66,moderate,income,32%,affluent_ria_like
HH000055,financially_stressed_with_debt,US,US_RIA,married_or_civil_partner,Other,2022-06-18,2,2,2016-04-27,2007-05-19,218900.56,17329.63,0.95,0.0,True,155543.1,14989.59,12001.99,2987.61,0.6579,160323.68,331546.52,55593.91,18558.03,42039.18,347913.85,moderate,capital_preservation|estate_planning|tax_optimization,32%,affluent_ria_like
HH000056,widowed,US,US_RIA,widowed,Other,2019-01-16,1,2,2023-01-07,2011-04-10,368193.67,16637.57,0.5422,0.0,False,0.0,0.0,0.0,0.0,0.0,759459.18,1437529.43,346992.92,121559.97,221062.68,2275617.19,moderate,retirement|wealth_growth,35%,affluent_ria_like
HH000057,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,Other,2019-10-01,2,0,,,168863.32,5188.89,0.3687,0.0,True,7195.78,613.55,613.55,0.0,0.0436,269864.32,554232.32,159056.43,87092.93,88638.75,855806.3,moderate,education|tax_optimization|wealth_growth,35%,affluent_ria_like
HH000058,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2013-02-08,2,2,2025-06-11,2012-11-13,170380.35,10351.44,0.7291,0.0,True,180471.56,5152.1,5152.1,0.0,0.3629,299111.53,481416.9,74960.94,32539.95,33014.24,616802.51,moderate,tax_optimization,35%,affluent_ria_like
HH000059,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2012-08-21,2,2,2017-06-29,2017-03-13,251478.05,15652.45,0.7469,0.0,True,262415.27,3565.99,3565.99,0.0,0.1702,338954.91,1145460.77,248801.76,60258.28,168710.02,1239620.7,growth,estate_planning,35%,affluent_ria_like
HH000060,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,TX,2001-10-21,2,2,2022-04-17,2013-07-16,163208.0,8250.07,0.6066,0.0,False,0.0,0.0,0.0,0.0,0.0,450942.12,871652.74,129696.99,100256.72,142756.24,1363247.95,growth,wealth_growth,32%,affluent_ria_like
HH000061,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,Other,2018-10-17,2,0,,,163208.0,6026.17,0.4431,0.0,False,0.0,0.0,0.0,0.0,0.0,446829.62,967543.36,377289.92,142646.82,60837.1,1434537.93,moderate,education|income,32%,affluent_ria_like
HH000062,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,CA,2016-12-08,2,3,2021-07-29,2006-08-07,208824.57,12982.45,0.746,0.0,True,272112.23,4809.59,4809.59,0.0,0.2764,775508.95,879798.04,275176.09,115803.83,117688.17,1410049.14,growth,estate_planning,37%,affluent_ria_like
HH000063,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,NJ,2015-04-12,2,3,2022-03-16,2012-04-12,206035.55,6002.1,0.3496,32126.15,False,0.0,0.0,0.0,0.0,0.0,732759.97,728820.79,149863.48,74910.31,75273.0,1465213.3,moderate,estate_planning|income|retirement,35%,affluent_ria_like
HH000064,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,CA,2007-10-18,2,5,2022-04-29,2007-02-22,163208.0,10290.05,0.7566,0.0,True,130706.15,3825.84,3825.84,0.0,0.2813,272183.33,792683.24,224423.01,63627.09,27915.87,979733.9,growth,capital_preservation|income|retirement,35%,affluent_ria_like
HH000065,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,IL,2002-01-04,2,0,,,163208.0,11156.22,0.8203,0.0,True,156346.37,3587.72,3587.72,0.0,0.2638,311441.29,782178.5,240964.38,85246.43,115842.62,938162.78,moderate,capital_preservation|income|retirement,32%,affluent_ria_like
HH000066,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,FL,2022-07-05,2,1,2015-11-17,2015-11-17,181935.29,14403.21,0.95,0.0,True,204901.6,4652.58,4027.73,624.85,0.2657,252041.97,622662.44,158458.99,33764.41,101567.97,692821.65,growth,education|retirement|wealth_growth,32%,affluent_ria_like
HH000067,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2018-08-13,2,1,2015-09-26,2015-09-26,294577.34,23320.71,0.95,0.0,True,271605.92,6325.94,6325.94,0.0,0.2577,366672.8,743645.68,224757.36,87587.95,118858.51,857579.22,growth,education|retirement|tax_optimization,32%,affluent_ria_like
HH000068,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,PA,2005-05-09,2,0,,,372308.54,23583.28,0.7601,33086.56,True,247518.81,6701.25,6701.25,0.0,0.216,620357.68,1110891.68,214613.05,128867.03,30401.18,1548389.51,aggressive,capital_preservation|tax_optimization|wealth_growth,24%,affluent_ria_like
HH000069,self_employed_business_owner,US,US_RIA,single,CA,2019-02-26,1,3,2020-12-12,2007-07-21,224613.01,13904.6,0.7429,0.0,True,398498.18,4463.26,4297.17,166.09,0.2296,728929.95,1114703.27,292692.87,60507.5,25533.81,1469512.72,growth,retirement,37%,affluent_ria_like
HH000070,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,Other,2010-08-20,2,0,,,163208.0,7131.44,0.5243,43496.94,True,1700.0,131.6,0.0,131.6,0.0,509928.23,645202.87,179509.27,82661.31,18671.12,1196731.06,conservative,wealth_growth,37%,affluent_ria_like
HH000071,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,Other,2015-09-03,2,0,,,163208.0,7573.51,0.5568,0.0,False,0.0,0.0,0.0,0.0,0.0,329283.54,510919.82,165474.13,64803.32,55987.27,842009.6,moderate,income,35%,affluent_ria_like
HH000072,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2007-12-13,2,3,2025-03-01,2012-11-23,263697.3,20876.04,0.95,0.0,True,801676.28,9317.92,9317.92,0.0,0.424,1130149.48,934471.5,255757.58,134102.29,19170.41,1286162.98,growth,income,37%,affluent_ria_like
HH000073,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,Other,2007-03-10,2,0,,,342192.55,7889.11,0.2767,0.0,True,90017.74,1119.13,1119.13,0.0,0.0392,238508.21,1175555.63,379718.76,145887.64,58764.82,1343299.06,moderate,income|tax_optimization|wealth_growth,32%,affluent_ria_like
HH000074,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,FL,2003-09-21,2,2,2013-01-03,2002-09-29,163208.0,12920.63,0.95,0.0,True,247932.89,6061.61,6061.61,0.0,0.4457,493432.62,512786.87,106035.46,30915.06,25857.23,796746.94,growth,education|estate_planning,35%,affluent_ria_like
HH000075,self_employed_business_owner,US,US_RIA,single,Other,2013-06-21,1,0,,,351052.25,20158.41,0.6891,0.0,True,408307.23,4744.52,4744.52,0.0,0.1622,623122.65,1714003.99,336051.24,238550.85,5928.78,2054192.31,aggressive,estate_planning|tax_optimization,32%,affluent_ria_like
HH000076,widowed,US,US_RIA,widowed,TX,2016-02-22,1,0,,,193711.86,9703.5,0.6011,0.0,True,119110.71,4001.28,4001.28,0.0,0.2479,251616.49,1113122.7,367089.93,69392.79,51507.09,1267625.56,moderate,estate_planning|income|tax_optimization,37%,affluent_ria_like
HH000077,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,Other,2024-10-04,2,4,2024-02-18,2015-11-12,163208.0,7500.7,0.5515,0.0,False,0.0,0.0,0.0,0.0,0.0,463066.66,747506.26,242741.8,43616.15,88339.63,1254165.81,moderate,education|estate_planning,32%,affluent_ria_like
HH000078,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,TX,2006-07-07,2,0,,,230156.23,10947.61,0.5708,0.0,True,13835.12,1158.45,0.0,1158.45,0.0,256270.39,1020506.16,252570.12,88649.06,144190.33,1321942.55,growth,estate_planning|tax_optimization,35%,affluent_ria_like
HH000079,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,TX,2017-10-01,2,0,,,163208.0,6704.55,0.493,0.0,True,105832.47,1906.06,1256.33,649.73,0.0924,270009.87,649486.54,122717.67,60594.17,13999.78,834738.82,moderate,education,35%,affluent_ria_like
HH000080,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,Other,2021-12-05,2,0,,,163208.0,7941.79,0.5839,0.0,True,12539.82,783.83,0.0,783.83,0.0,591827.53,598994.48,253930.54,81784.63,90160.23,1206850.57,moderate,income|retirement|tax_optimization,32%,affluent_ria_like
HH000081,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,TX,2005-12-03,2,3,2015-11-21,2006-01-01,163208.0,8710.96,0.6405,0.0,True,66592.04,1180.67,1180.67,0.0,0.0868,89498.29,389593.9,78161.6,26815.87,47482.84,432005.84,moderate,retirement,37%,affluent_ria_like
HH000082,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,Other,2006-05-26,2,3,2023-08-01,2002-08-30,163208.0,5684.36,0.4179,0.0,True,135807.01,2964.22,2964.22,0.0,0.2179,449214.43,838158.07,146128.19,128687.09,133807.87,1179776.71,moderate,retirement|tax_optimization,37%,affluent_ria_like
HH000083,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2017-10-26,2,3,2026-02-07,2013-08-16,182372.57,11145.73,0.7334,0.0,True,247292.54,4047.84,3535.36,512.49,0.2326,474245.9,575795.39,145221.24,54229.47,76366.91,815619.99,moderate,capital_preservation|education|income,35%,affluent_ria_like
HH000084,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,CA,2001-11-28,2,0,,,207618.55,9122.35,0.5273,0.0,False,0.0,0.0,0.0,0.0,0.0,649380.77,820930.0,237838.43,63817.78,95027.85,1480870.57,aggressive,income,24%,affluent_ria_like
HH000085,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2020-06-28,2,0,,,183055.22,11086.38,0.7268,0.0,True,159975.31,4771.87,4457.75,314.11,0.2922,662806.52,833134.69,203940.58,96439.7,41245.8,1379503.8,growth,retirement|wealth_growth,35%,affluent_ria_like
HH000086,self_employed_business_owner,US,US_RIA,married_or_civil_partner,Other,2021-01-05,2,0,,,250646.3,6749.68,0.3231,0.0,False,0.0,0.0,0.0,0.0,0.0,1036462.22,999159.84,258847.69,129582.94,30205.3,2088474.46,moderate,income,37%,affluent_ria_like
