liability_id,household_id,type,monthly_cost,outstanding,interest_rate,final_payment_date
HH000098_L1,HH000098,mortgage,2853.11,101188.84,5.2,2029-07-21
HH000099_L1,HH000099,mortgage,630.8,43729.07,7.18,2033-03-31
HH000100_L1,HH000100,mortgage,7648.2,83648.76,4.94,2050-07-15
HH000100_L2,HH000100,credit_card,774.8,21169.52,19.58,
HH000101_L1,HH000101,mortgage,6413.64,98042.35,4.39,2032-06-30
HH000103_L1,HH000103,mortgage,2297.99,163909.08,6.21,2033-09-13
HH000104_L1,HH000104,mortgage,6975.41,211828.04,4.6,2028-12-18
HH000105_L2,HH000105,loan,155.28,1034.85,28.84,2032-05-20
HH000107_L1,HH000107,mortgage,915.66,163539.97,3.14,2044-02-28
HH000107_L2,HH000107,loan,287.37,2322.4,15.9,2029-05-03
HH000108_L1,HH000108,mortgage,2032.32,204959.28,5.61,2035-07-19
HH000109_L1,HH000109,mortgage,2100.74,62619.73,6.4,2029-07-23
HH000113_L2,HH000113,loan,513.46,5365.59,8.56,2028-06-28
HH000115_L1,HH000115,mortgage,3243.34,15057.74,4.53,2038-09-11
HH000115_L2,HH000115,credit_card,1032.94,13521.97,24.37,
HH000116_L1,HH000116,mortgage,5475.51,196396.13,6.95,2029-07-13
HH000117_L1,HH000117,mortgage,6709.86,75809.29,4.51,2034-07-15
HH000117_L2,HH000117,credit_card,427.62,12843.73,11.16,
HH000118_L1,HH000118,mortgage,6484.0,176687.45,3.47,2052-01-20
HH000119_L2,HH000119,loan,312.99,2976.69,14.71,2030-06-29
HH000120_L1,HH000120,mortgage,3678.18,79441.42,6.51,2046-06-24
HH000121_L1,HH000121,mortgage,3032.99,46073.82,5.65,2034-08-26
HH000122_L1,HH000122,mortgage,2627.22,86367.33,5.43,2029-05-06
HH000123_L1,HH000123,mortgage,2918.53,536857.13,3.69,2042-09-19
HH000124_L1,HH000124,mortgage,1866.33,72300.39,2.5,2030-07-27
HH000125_L1,HH000125,mortgage,2457.97,125930.13,5.31,2030-11-25
HH000126_L1,HH000126,mortgage,266.28,14849.87,4.29,2031-12-04
HH000126_L2,HH000126,loan,192.49,3205.12,10.42,2030-08-03
HH000127_L2,HH000127,loan,92.06,1454.24,22.67,2027-05-03
HH000128_L2,HH000128,loan,100.16,544.84,17.16,2030-08-23
HH000130_L1,HH000130,mortgage,789.86,41953.8,4.3,2031-11-25
HH000131_L2,HH000131,loan,292.66,2475.79,14.69,2031-01-08
HH000133_L1,HH000133,mortgage,7352.7,209057.33,4.45,2029-03-03
HH000134_L1,HH000134,mortgage,2723.18,199282.05,4.77,2034-04-22
HH000136_L1,HH000136,mortgage,2672.52,158806.55,4.6,2031-07-19
HH000136_L2,HH000136,loan,838.74,9158.87,13.81,2027-06-17
HH000139_L1,HH000139,mortgage,4267.52,262814.24,5.7,2032-10-13
HH000140_L1,HH000140,mortgage,1889.57,84738.79,5.99,2030-11-24
HH000141_L1,HH000141,mortgage,4319.6,211896.98,5.78,2035-07-17
HH000144_L1,HH000144,mortgage,5045.85,252306.57,7.33,2031-01-28
HH000145_L1,HH000145,mortgage,1087.72,46693.69,3.92,2030-12-18
HH000145_L2,HH000145,loan,72.46,905.21,18.81,2031-04-06
HH000146_L1,HH000146,mortgage,1573.97,154945.15,3.73,2034-12-17
HH000147_L1,HH000147,mortgage,1842.91,132653.43,4.33,2034-04-11
HH000147_L2,HH000147,loan,338.57,3275.83,15.72,2030-10-12
HH000149_L2,HH000149,loan,233.78,2409.02,9.14,2029-01-13
HH000150_L1,HH000150,mortgage,3034.36,93850.7,5.56,2029-05-23
HH000152_L1,HH000152,mortgage,474.56,32408.46,6.62,2033-04-25
HH000152_L2,HH000152,loan,138.88,2031.75,21.6,2029-02-24
HH000153_L1,HH000153,mortgage,4274.41,90058.79,2.5,2043-04-15
HH000153_L2,HH000153,credit_card,852.29,24934.57,8.45,
HH000154_L1,HH000154,mortgage,1472.72,114442.49,5.92,2033-10-19
HH000154_L2,HH000154,loan,450.35,6135.29,12.71,2031-10-16
HH000155_L1,HH000155,mortgage,5661.34,195587.4,5.29,2052-10-05
HH000156_L1,HH000156,mortgage,700.84,22168.96,4.97,2029-06-05
HH000159_L1,HH000159,mortgage,11163.8,117750.51,5.17,2036-04-30
HH000159_L2,HH000159,credit_card,358.43,7800.62,18.65,
HH000160_L1,HH000160,mortgage,2076.56,140281.47,4.8,2032-03-24
HH000160_L2,HH000160,loan,109.15,759.42,21.23,2029-07-26
HH000162_L1,HH000162,mortgage,485.84,47422.1,5.78,2035-05-01
HH000163_L1,HH000163,mortgage,5628.38,145554.22,2.5,2050-07-24
HH000163_L2,HH000163,credit_card,1486.67,58931.87,13.01,
HH000164_L1,HH000164,mortgage,1831.02,79840.97,5.52,2030-05-18
HH000171_L1,HH000171,mortgage,7366.09,205235.4,4.65,2049-07-26
HH000171_L2,HH000171,loan,355.68,5779.48,12.72,2029-04-12
HH000172_L1,HH000172,mortgage,2814.56,94524.86,4.97,2029-05-22
HH000172_L2,HH000172,credit_card,401.65,15923.78,23.17,
HH000173_L1,HH000173,mortgage,1386.88,61392.92,3.63,2030-09-17
HH000175_L1,HH000175,mortgage,1655.32,83103.5,5.1,2031-04-03
HH000176_L1,HH000176,mortgage,1407.16,166456.13,5.98,2038-12-23
HH000180_L1,HH000180,mortgage,3562.61,90704.37,3.75,2049-01-18
HH000180_L2,HH000180,loan,93.47,1546.31,28.41,2031-01-13
HH000181_L1,HH000181,mortgage,1391.13,309649.33,4.04,2048-08-06
HH000182_L1,HH000182,mortgage,2130.38,63660.87,5.79,2029-05-02
HH000183_L1,HH000183,mortgage,5258.12,236567.98,6.53,2031-01-17
HH000183_L2,HH000183,loan,96.31,1583.5,18.4,2028-06-24
HH000184_L1,HH000184,mortgage,7656.41,90647.36,7.2,2052-12-13
HH000184_L2,HH000184,credit_card,1060.35,20157.45,12.65,
HH000185_L1,HH000185,mortgage,4480.4,119773.37,6.13,2029-06-05
HH000188_L2,HH000188,loan,86.83,812.54,25.39,2033-03-04
HH000189_L1,HH000189,mortgage,7743.52,208608.57,4.54,2049-02-19
HH000190_L2,HH000190,loan,192.41,891.99,11.26,2028-12-07
HH000191_L2,HH000191,loan,80.27,1342.02,9.77,2030-11-07
HH000193_L1,HH000193,mortgage,3026.75,143663.28,5.88,2033-05-10
HH000196_L1,HH000196,mortgage,3660.64,51079.64,3.73,2031-12-27
HH000196_L2,HH000196,loan,184.17,1460.38,20.94,2027-07-28
HH000199_L1,HH000199,mortgage,8227.95,322092.22,5.1,2034-10-25
HH000200_L1,HH000200,mortgage,1017.89,66219.89,6.41,2032-11-14
HH000204_L1,HH000204,mortgage,2945.25,115924.17,5.05,2029-11-29
HH000205_L2,HH000205,loan,291.25,4500.75,13.55,2029-07-28
HH000206_L1,HH000206,mortgage,1415.98,51675.55,2.75,2030-01-21
HH000209_L1,HH000209,mortgage,586.77,68214.68,4.01,2037-07-04
HH000209_L2,HH000209,loan,507.2,5455.27,19.9,2029-12-12
HH000211_L1,HH000211,mortgage,4215.75,219155.13,5.28,2031-11-20
HH000212_L1,HH000212,mortgage,4514.92,144235.55,7.11,2029-02-06
HH000214_L1,HH000214,mortgage,6341.25,50101.27,4.46,2049-06-21
HH000214_L2,HH000214,credit_card,371.9,7686.92,11.2,
HH000215_L1,HH000215,mortgage,2984.82,237670.4,4.82,2033-05-05
HH000216_L1,HH000216,mortgage,2537.47,50358.68,4.61,2032-06-04
HH000218_L1,HH000218,mortgage,1837.3,82066.11,4.13,2030-12-07
HH000218_L2,HH000218,credit_card,2193.18,34020.59,11.34,
HH000219_L1,HH000219,mortgage,612.29,68715.21,4.72,2038-10-07
HH000219_L2,HH000219,loan,340.58,4253.76,20.27,2031-09-09
HH000222_L1,HH000222,mortgage,3165.64,76112.21,2.5,2030-05-29
HH000223_L1,HH000223,mortgage,9356.28,221932.85,5.28,2044-10-17
HH000223_L2,HH000223,credit_card,507.53,15405.72,23.0,
HH000225_L2,HH000225,loan,140.26,1912.38,15.7,2027-07-07
HH000227_L1,HH000227,mortgage,4844.34,274235.09,6.25,2041-07-01
HH000228_L1,HH000228,mortgage,2603.53,83240.82,4.62,2029-09-22
HH000230_L1,HH000230,mortgage,2259.85,29560.35,6.4,2027-07-09
HH000231_L1,HH000231,mortgage,4985.3,24102.81,5.63,2051-04-03
HH000231_L2,HH000231,credit_card,1008.36,40002.14,11.29,
HH000232_L2,HH000232,loan,298.95,2617.92,9.14,2029-02-14
HH000234_L1,HH000234,mortgage,4363.57,153406.59,4.13,2030-01-06
HH000234_L2,HH000234,loan,45.61,518.29,20.39,2032-09-14
HH000235_L1,HH000235,mortgage,2316.02,142821.18,4.25,2032-12-25
HH000235_L2,HH000235,loan,63.83,677.61,13.7,2028-11-21
HH000237_L1,HH000237,mortgage,1787.13,465656.95,5.12,2053-11-23
HH000238_L1,HH000238,mortgage,3479.42,102507.94,6.49,2029-04-20
HH000239_L1,HH000239,mortgage,5371.42,121448.58,5.57,2036-02-22
HH000239_L2,HH000239,loan,1099.89,12320.67,19.29,2031-07-18
HH000242_L1,HH000242,mortgage,553.38,95601.55,4.92,2042-02-23
HH000243_L1,HH000243,mortgage,2121.96,116158.98,4.61,2032-01-12
HH000245_L2,HH000245,loan,67.77,1091.9,12.91,2031-09-16
HH000246_L1,HH000246,mortgage,1480.93,138459.52,4.25,2036-02-06
HH000247_L1,HH000247,mortgage,4184.17,69924.22,5.05,2055-05-14
HH000247_L2,HH000247,credit_card,460.89,13063.84,17.98,
HH000249_L1,HH000249,mortgage,1392.75,59629.68,6.94,2030-04-22
HH000251_L1,HH000251,mortgage,7038.66,45499.04,6.02,2030-11-10
HH000251_L2,HH000251,credit_card,1185.87,38601.96,25.51,
HH000253_L1,HH000253,mortgage,5294.21,206054.91,6.13,2030-02-23
HH000255_L2,HH000255,loan,389.84,2444.87,14.47,2029-10-16
HH000256_L1,HH000256,mortgage,4079.43,228166.07,6.36,2032-04-04
HH000256_L2,HH000256,loan,1078.95,5390.87,14.03,2030-06-12
HH000257_L1,HH000257,mortgage,6594.42,98810.24,6.14,2049-11-20
HH000259_L1,HH000259,mortgage,1662.22,137628.22,5.8,2035-02-21
HH000260_L1,HH000260,mortgage,4301.1,78734.08,3.5,2042-03-04
HH000260_L2,HH000260,credit_card,2209.61,24258.47,27.89,
HH000261_L2,HH000261,loan,259.2,1304.54,16.38,2030-04-24
HH000263_L2,HH000263,loan,138.87,2333.25,23.33,2028-12-28
HH000265_L1,HH000265,mortgage,1687.95,22004.03,5.97,2033-06-18
HH000266_L1,HH000266,mortgage,1378.25,144821.57,6.06,2037-02-24
HH000271_L1,HH000271,mortgage,3548.04,483681.73,6.52,2040-03-25
HH000272_L1,HH000272,mortgage,3828.91,390246.4,4.23,2037-07-16
HH000272_L2,HH000272,loan,356.04,2962.56,17.83,2028-04-28
HH000273_L1,HH000273,mortgage,8747.18,129589.56,6.2,2051-12-11
HH000273_L2,HH000273,credit_card,606.95,19376.24,9.34,
HH000274_L1,HH000274,mortgage,5424.23,167256.11,3.79,2040-11-11
HH000274_L2,HH000274,credit_card,448.3,15295.69,17.61,
HH000276_L1,HH000276,mortgage,1754.36,347479.45,4.68,2046-07-20
HH000276_L2,HH000276,loan,165.29,2960.66,15.78,2027-11-05
HH000277_L1,HH000277,mortgage,6485.8,291112.89,2.91,2031-04-12
HH000278_L2,HH000278,loan,419.12,5027.94,18.82,2028-10-24
HH000280_L1,HH000280,mortgage,9663.74,79610.54,5.09,2049-01-13
HH000280_L2,HH000280,credit_card,751.76,16066.76,26.04,
HH000286_L1,HH000286,mortgage,4218.32,134802.68,5.32,2042-08-09
HH000287_L1,HH000287,mortgage,4485.59,358418.57,5.54,2034-09-09
HH000288_L1,HH000288,mortgage,3868.87,105833.19,4.91,2029-01-20
HH000289_L1,HH000289,mortgage,387.74,11343.72,5.6,2029-01-23
HH000290_L1,HH000290,mortgage,2031.08,67314.53,5.12,2050-11-12
HH000290_L2,HH000290,credit_card,1457.06,48525.62,11.51,
HH000292_L1,HH000292,mortgage,5060.79,175202.39,3.62,2029-11-09
HH000295_L1,HH000295,mortgage,4877.02,139523.91,4.63,2029-05-12
HH000297_L1,HH000297,mortgage,5643.71,76721.55,3.73,2050-08-27
HH000297_L2,HH000297,credit_card,1026.88,39690.31,14.17,
HH000298_L1,HH000298,mortgage,392.18,25630.91,4.66,2032-07-25
HH000299_L1,HH000299,mortgage,2462.92,14171.8,3.93,2033-12-28
HH000299_L2,HH000299,credit_card,423.41,11629.45,14.32,
HH000303_L2,HH000303,loan,556.33,8603.43,13.68,2028-09-30
HH000305_L2,HH000305,loan,770.5,9771.17,18.24,2030-08-21
HH000306_L1,HH000306,mortgage,19104.71,276915.34,5.71,2049-02-17
HH000306_L2,HH000306,loan,351.46,4648.11,17.1,2028-02-04
HH000308_L1,HH000308,mortgage,3214.79,66616.44,6.24,2048-06-11
HH000308_L2,HH000308,credit_card,667.15,20680.41,11.15,
HH000310_L1,HH000310,mortgage,1201.83,126063.09,5.03,2037-09-19
HH000311_L2,HH000311,loan,486.37,3677.04,25.42,2032-10-04
HH000312_L1,HH000312,mortgage,1893.76,97311.93,5.9,2031-06-28
HH000312_L2,HH000312,loan,148.15,2633.61,15.71,2030-03-25
HH000313_L1,HH000313,mortgage,817.77,127845.87,4.52,2040-07-11
HH000316_L2,HH000316,loan,112.55,487.33,16.03,2029-05-26
HH000317_L1,HH000317,mortgage,3504.21,121691.01,6.65,2030-02-13
HH000318_L1,HH000318,mortgage,4810.37,44099.53,6.98,2037-08-13
HH000318_L2,HH000318,credit_card,2476.47,27644.98,9.17,
HH000321_L1,HH000321,mortgage,5179.72,186733.87,6.62,2030-04-04
HH000322_L1,HH000322,mortgage,4166.1,18045.53,6.12,2034-04-17
HH000322_L2,HH000322,credit_card,551.93,15867.85,10.22,
HH000323_L2,HH000323,loan,263.55,4110.93,11.27,2029-07-26
HH000325_L1,HH000325,mortgage,2796.75,54415.56,3.73,2035-11-15
HH000325_L2,HH000325,credit_card,436.11,13180.26,25.72,
HH000326_L1,HH000326,mortgage,601.63,110150.12,5.19,2044-09-06
HH000329_L2,HH000329,loan,1086.79,11919.41,19.52,2032-04-04
HH000332_L2,HH000332,loan,237.93,3029.73,28.97,2033-01-06
HH000333_L1,HH000333,mortgage,4913.0,152009.2,4.6,2033-08-31
HH000336_L1,HH000336,mortgage,1722.18,207031.03,4.8,2037-12-10
HH000337_L1,HH000337,mortgage,3108.62,195257.17,4.97,2032-07-06
HH000337_L2,HH000337,loan,51.32,685.06,17.02,2031-11-22
HH000338_L1,HH000338,mortgage,5749.58,138461.98,4.06,2028-07-11
HH000339_L2,HH000339,loan,221.92,2738.05,9.4,2032-10-16
HH000340_L1,HH000340,mortgage,2491.9,157237.74,3.11,2032-10-05
HH000341_L1,HH000341,mortgage,1150.69,50707.86,6.36,2030-11-17
HH000343_L1,HH000343,mortgage,8514.92,404966.61,5.09,2031-06-24
HH000343_L2,HH000343,loan,212.17,1117.51,25.79,2029-01-12
HH000344_L1,HH000344,mortgage,9480.65,203472.22,3.42,2037-01-24
HH000345_L1,HH000345,mortgage,733.32,36179.94,6.14,2031-03-07
HH000346_L2,HH000346,loan,218.8,3060.06,9.08,2032-01-21
HH000347_L1,HH000347,mortgage,3424.53,140732.19,7.03,2030-07-16
HH000348_L1,HH000348,mortgage,1067.61,110326.91,4.67,2037-01-25
HH000350_L1,HH000350,mortgage,1494.1,123439.46,4.45,2033-10-15
HH000350_L2,HH000350,loan,446.45,2401.8,25.59,2032-06-15
HH000351_L1,HH000351,mortgage,2990.46,103288.66,4.42,2050-05-22
HH000353_L2,HH000353,loan,107.02,710.61,14.25,2031-01-02
HH000354_L1,HH000354,mortgage,3166.24,143051.95,5.09,2031-01-18
HH000356_L1,HH000356,mortgage,2061.29,133176.57,6.76,2032-08-29
HH000358_L1,HH000358,mortgage,4646.15,199682.71,4.3,2043-09-09
HH000364_L1,HH000364,mortgage,901.98,113806.14,3.23,2039-04-26
HH000366_L1,HH000366,mortgage,3745.94,43209.06,4.22,2045-02-10
HH000366_L2,HH000366,credit_card,1817.88,60869.25,9.39,
HH000367_L1,HH000367,mortgage,5308.6,41453.15,5.92,2048-08-06
HH000367_L2,HH000367,credit_card,723.43,17817.71,28.15,
HH000368_L1,HH000368,mortgage,636.66,44443.13,4.38,2032-10-19
HH000370_L1,HH000370,mortgage,3349.5,477203.37,5.18,2040-06-28
HH000371_L1,HH000371,mortgage,2897.6,65093.76,5.1,2043-01-04
HH000371_L2,HH000371,credit_card,932.91,14458.05,11.25,
HH000372_L1,HH000372,mortgage,2435.65,19025.97,6.14,2036-06-18
HH000372_L2,HH000372,credit_card,991.15,27028.28,16.47,
HH000373_L2,HH000373,loan,306.58,4257.19,21.67,2030-06-26
HH000374_L1,HH000374,mortgage,4591.93,186516.74,4.55,2044-12-16
HH000375_L1,HH000375,mortgage,4659.1,138556.91,6.61,2029-05-14
HH000377_L1,HH000377,mortgage,2096.12,146975.86,5.34,2032-07-02
HH000378_L2,HH000378,loan,123.4,1646.66,27.34,2030-01-27
HH000379_L1,HH000379,mortgage,1616.77,72678.66,7.24,2030-10-28
HH000379_L2,HH000379,loan,402.3,5508.7,9.36,2028-04-17
HH000381_L1,HH000381,mortgage,2072.46,163544.24,3.37,2033-09-15
HH000382_L1,HH000382,mortgage,3165.98,357506.69,5.11,2036-08-17
HH000383_L2,HH000383,loan,176.72,2665.57,9.87,2032-05-21
HH000384_L1,HH000384,mortgage,6826.6,241513.41,4.53,2030-03-14
HH000385_L1,HH000385,mortgage,1718.77,119391.39,4.08,2033-04-22
HH000387_L2,HH000387,loan,408.78,1694.03,13.85,2027-11-12
HH000393_L1,HH000393,mortgage,4079.84,230513.43,4.42,2032-06-20
HH000395_L1,HH000395,mortgage,3925.78,167232.6,5.66,2030-12-03
HH000396_L2,HH000396,loan,232.81,1802.74,19.58,2029-09-07
HH000398_L1,HH000398,mortgage,1548.39,50814.16,6.3,2053-07-22
HH000401_L1,HH000401,mortgage,5023.74,183476.27,4.58,2051-03-07
HH000402_L2,HH000402,loan,288.0,4960.32,8.83,2028-11-15
HH000406_L1,HH000406,mortgage,15511.72,587012.98,3.48,2029-09-02
HH000407_L1,HH000407,mortgage,5724.71,218177.13,6.02,2029-08-23
HH000407_L2,HH000407,loan,312.54,2120.22,8.15,2028-03-12
HH000408_L1,HH000408,mortgage,3782.24,148364.53,5.58,2029-11-21
HH000409_L1,HH000409,mortgage,2374.26,102556.88,4.38,2030-03-25
HH000410_L2,HH000410,loan,83.51,1310.22,18.82,2029-11-24
HH000411_L1,HH000411,mortgage,1829.36,61725.29,5.97,2029-06-15
HH000411_L2,HH000411,loan,80.03,931.99,9.64,2032-02-20
HH000412_L1,HH000412,mortgage,1151.61,64046.12,6.25,2031-08-10
HH000413_L2,HH000413,loan,191.43,2380.24,25.03,2029-03-28
HH000414_L1,HH000414,mortgage,2853.7,70178.7,8.2,2041-05-25
HH000414_L2,HH000414,credit_card,857.34,34236.13,8.28,
HH000415_L1,HH000415,mortgage,7388.39,40567.2,4.42,2037-06-29
HH000415_L2,HH000415,credit_card,592.69,16381.51,21.22,
HH000416_L1,HH000416,mortgage,390.57,21112.73,5.22,2031-05-23
HH000417_L1,HH000417,mortgage,308.81,21890.82,5.8,2032-12-03
HH000418_L1,HH000418,mortgage,2479.79,111776.61,3.69,2031-02-14
HH000419_L1,HH000419,mortgage,2062.07,88618.8,6.91,2030-07-25
HH000419_L2,HH000419,loan,273.76,1261.67,8.37,2031-04-27
HH000421_L1,HH000421,mortgage,8086.49,616981.53,5.22,2034-04-22
HH000422_L2,HH000422,loan,209.79,2266.07,21.21,2028-08-29
HH000423_L1,HH000423,mortgage,1546.76,57756.53,3.46,2030-03-13
HH000426_L1,HH000426,mortgage,2172.52,277782.59,6.24,2039-03-18
HH000427_L1,HH000427,mortgage,1155.39,97619.94,4.65,2034-01-17
HH000432_L1,HH000432,mortgage,2427.35,61004.85,5.13,2045-02-04
HH000434_L1,HH000434,mortgage,2367.34,106642.99,5.91,2030-10-11
HH000435_L1,HH000435,mortgage,2818.3,114372.46,4.66,2029-12-25
HH000436_L2,HH000436,loan,419.55,5237.34,26.72,2027-07-05
HH000437_L1,HH000437,mortgage,1831.79,92352.24,6.6,2030-10-09
HH000441_L1,HH000441,mortgage,6862.04,445341.2,3.83,2032-03-17
HH000442_L1,HH000442,mortgage,2225.78,121755.1,5.54,2031-11-03
HH000445_L1,HH000445,mortgage,8052.38,111371.28,7.43,2030-05-18
HH000446_L2,HH000446,loan,429.66,5543.99,10.39,2027-08-29
HH000448_L2,HH000448,loan,423.85,4554.35,8.01,2028-11-05
HH000449_L2,HH000449,loan,399.33,3101.75,25.11,2031-12-04
HH000450_L1,HH000450,mortgage,3714.6,161368.12,4.09,2030-08-21
HH000450_L2,HH000450,loan,139.43,2141.83,11.92,2031-11-22
HH000451_L2,HH000451,loan,518.8,2706.05,13.77,2033-01-02
HH000453_L1,HH000453,mortgage,1497.32,230838.42,4.0,2041-03-23
HH000456_L1,HH000456,mortgage,8311.64,95907.37,6.33,2044-07-04
HH000456_L2,HH000456,credit_card,1856.66,54760.48,12.63,
HH000457_L1,HH000457,mortgage,455.04,32883.44,5.78,2033-04-16
HH000457_L2,HH000457,loan,251.45,1457.5,26.39,2031-04-12
HH000458_L2,HH000458,loan,448.94,4872.09,24.82,2031-04-09
HH000459_L1,HH000459,mortgage,895.76,190831.54,3.74,2047-08-05
HH000460_L1,HH000460,mortgage,1913.56,72488.37,4.4,2042-01-25
HH000460_L2,HH000460,loan,221.26,2620.93,10.33,2027-10-07
HH000462_L1,HH000462,mortgage,952.92,72420.41,4.08,2033-11-20
