household_id,entity,record_key,record_status,field,field_type,ground_truth,extracted
HH003210,assets,HH003210_A5,both,owner,categorical,client_1,joint
HH003590,assets,HH003590_A5,both,owner,categorical,joint,client_1
HH003686,assets,HH003686_A5,both,owner,categorical,client_1,joint
HH003845,assets,HH003845_A5,both,owner,categorical,client_2,joint
HH003855,assets,HH003855_A5,both,owner,categorical,joint,client_1
HH003922,assets,HH003922_A5,both,owner,categorical,client_1,joint
HH004257,assets,HH004257_A3,both,owner,categorical,joint,client_1
HH004257,assets,HH004257_A5,both,owner,categorical,client_2,joint
HH004275,assets,HH004275_A5,both,owner,categorical,client_1,joint
HH004402,assets,HH004402_A4,both,owner,categorical,joint,client_1
HH004807,assets,HH004807_A5,both,owner,categorical,joint,client_1
HH000470,assets,HH000470_A1,both,provider_type,categorical,bank,brokerage
HH000695,assets,HH000695_A5,both,provider_type,categorical,retirement_platform,advisor_platform
HH000731,assets,HH000731_A3,both,provider_type,categorical,brokerage,bank
HH000884,assets,HH000884_A4,both,provider_type,categorical,bank,retirement_platform
HH001110,assets,HH001110_A1,both,provider_type,categorical,bank,brokerage
HH001860,assets,HH001860_A5,both,provider_type,categorical,brokerage,advisor_platform
HH001918,assets,HH001918_A3,both,provider_type,categorical,brokerage,bank
HH001925,assets,HH001925_A3,both,provider_type,categorical,retirement_platform,bank
HH002609,assets,HH002609_A3,both,provider_type,categorical,insurance_company,bank
HH003018,assets,HH003018_A3,both,provider_type,categorical,insurance_company,bank
HH003194,assets,HH003194_A1,both,provider_type,categorical,bank,brokerage
HH003762,assets,HH003762_A3,both,provider_type,categorical,retirement_platform,bank
HH003770,assets,HH003770_A5,both,provider_type,categorical,brokerage,advisor_platform
HH003774,assets,HH003774_A4,both,provider_type,categorical,bank,advisor_platform
HH003888,assets,HH003888_A4,both,provider_type,categorical,retirement_platform,advisor_platform
HH004289,assets,HH004289_A3,both,provider_type,categorical,retirement_platform,bank
HH004983,assets,HH004983_A1,both,provider_type,categorical,insurance_company,advisor_platform
HH000226,assets,HH000226_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH000418,assets,HH000418_A3,both,subtype,categorical,bank_account,401k_ira
HH000799,assets,HH000799_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH000805,assets,HH000805_A3,both,subtype,categorical,bank_account,private_markets
HH001099,assets,HH001099_A1,both,subtype,categorical,taxable_brokerage,401k_ira
HH001138,assets,HH001138_A2,both,subtype,categorical,401k_ira,bank_account
HH001292,assets,HH001292_A3,both,subtype,categorical,bank_account,401k_ira
HH001448,assets,HH001448_A3,both,subtype,categorical,bank_account,taxable_brokerage
HH001509,assets,HH001509_A3,both,subtype,categorical,bank_account,401k_ira
HH001777,assets,HH001777_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH002044,assets,HH002044_A3,both,subtype,categorical,bank_account,401k_ira
HH002321,assets,HH002321_A3,both,subtype,categorical,bank_account,401k_ira
HH002537,assets,HH002537_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH002537,assets,HH002537_A3,both,subtype,categorical,bank_account,401k_ira
HH002685,assets,HH002685_A3,both,subtype,categorical,bank_account,taxable_brokerage
HH002755,assets,HH002755_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH002894,assets,HH002894_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH003001,assets,HH003001_A3,both,subtype,categorical,bank_account,401k_ira
HH003224,assets,HH003224_A3,both,subtype,categorical,bank_account,401k_ira
HH003547,assets,HH003547_A3,both,subtype,categorical,bank_account,private_markets
HH003774,assets,HH003774_A1,both,subtype,categorical,taxable_brokerage,401k_ira
HH003788,assets,HH003788_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH004259,assets,HH004259_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH004259,assets,HH004259_A3,both,subtype,categorical,bank_account,401k_ira
HH004359,assets,HH004359_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH004892,assets,HH004892_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH004892,assets,HH004892_A3,both,subtype,categorical,bank_account,401k_ira
HH004983,assets,HH004983_A3,both,subtype,categorical,bank_account,taxable_brokerage
HH002486,households,HH002486,both,risk_tolerance,categorical,aggressive,conservative
HH000408,income_lines,HH000408_I1,both,amount_annualized,continuous,154650,55350
HH000692,income_lines,HH000692_I1,both,frequency,categorical,annual,monthly
HH000884,people,HH000884_P1,both,employment_status,categorical,employed,employed_full_time
HH002262,people,HH002262_P1,both,employment_status,categorical,employed,employed_full_time
HH003606,people,HH003606_P1,both,employment_status,categorical,employed,employed_full_time
HH000080,people,HH000080_P1,both,occupation_group,categorical,finance,professional
HH000377,people,HH000377_P1,both,occupation_group,categorical,professional,education
HH000882,people,HH000882_P2,both,occupation_group,categorical,professional,business_owner
HH001530,people,HH001530_P1,both,occupation_group,categorical,business_owner,operations
HH001644,people,HH001644_P2,both,occupation_group,categorical,healthcare,operations
HH003031,people,HH003031_P2,both,occupation_group,categorical,professional,sales
HH003210,people,HH003210_P1,both,occupation_group,categorical,finance,inactive
HH003210,people,HH003210_P2,both,occupation_group,categorical,healthcare,finance
HH003830,people,HH003830_P1,both,occupation_group,categorical,exec,business_owner
HH003857,people,HH003857_P1,both,occupation_group,categorical,business_owner,education
HH003940,people,HH003940_P2,both,occupation_group,categorical,operations,business_owner
